,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Rob Schremp,C,LDN,19.209,57.0,57.0,54.0,34.0,111.0,145.0,1.0,0.95,0.6,1.95,2.54
1,David Bolland,RW,LDN,19.28,59.0,57.0,41.0,32.0,98.0,130.0,0.97,0.69,0.54,1.66,2.2
2,Wojtek Wolski,LW,BRA,19.557,56.0,47.0,59.0,22.0,106.0,128.0,0.84,1.05,0.39,1.89,2.29
3,Dylan Hunter,LW,LDN,20.321,62.0,32.0,44.0,41.0,76.0,117.0,0.52,0.71,0.66,1.23,1.89
4,Evan McGrath,C,KIT,19.669,67.0,37.0,47.0,30.0,84.0,114.0,0.55,0.7,0.45,1.25,1.7
5,Bryan Little,C,BAR,17.843,64.0,42.0,42.0,25.0,84.0,109.0,0.66,0.66,0.39,1.31,1.7
6,Justin Donati,C,TOR,18.913,62.0,46.0,37.0,26.0,83.0,109.0,0.74,0.6,0.42,1.34,1.76
7,Cal O'Reilly,C,WSR,18.96,68.0,18.0,54.0,27.0,72.0,99.0,0.26,0.79,0.4,1.06,1.46
8,Peter Tsimikalis,C,OSH,19.68,64.0,29.0,50.0,20.0,79.0,99.0,0.45,0.78,0.31,1.23,1.55
9,Bobby Ryan,RW,OS,18.5,59.0,31.0,37.0,27.0,68.0,95.0,0.53,0.63,0.46,1.15,1.61
10,Cory Emmerton,LW,KGN,17.29,66.0,26.0,30.0,34.0,56.0,90.0,0.39,0.45,0.52,0.85,1.36
11,Ryan McDonough,C,SAG,17.703,68.0,39.0,30.0,19.0,69.0,88.0,0.57,0.44,0.28,1.01,1.29
12,Chris Stewart,RW,KGN,17.879,62.0,37.0,32.0,18.0,69.0,87.0,0.6,0.52,0.29,1.11,1.4
13,Michal Birner,RW,SAG,19.54,60.0,31.0,32.0,22.0,63.0,85.0,0.52,0.53,0.37,1.05,1.42
14,Ryan Callahan,RW,GUE,20.488,62.0,52.0,21.0,11.0,73.0,84.0,0.84,0.34,0.18,1.18,1.35
15,Michael Blunden,RW,ER,18.752,60.0,46.0,23.0,15.0,69.0,84.0,0.77,0.38,0.25,1.15,1.4
16,Radek Smolenak,RW,KGN,18.785,65.0,42.0,24.0,18.0,66.0,84.0,0.65,0.37,0.28,1.02,1.29
17,Bryan Bickell,LW,OTT/WSR,19.521,67.0,45.0,21.0,17.0,66.0,83.0,0.67,0.31,0.25,0.99,1.24
18,Chris Hulit,RW,OTT,20.666,67.0,32.0,36.0,15.0,68.0,83.0,0.48,0.54,0.22,1.01,1.24
19,Daniel Ryder,C,PBO,18.675,65.0,38.0,27.0,17.0,65.0,82.0,0.58,0.42,0.26,1.0,1.26
20,John Hughes,RW,BELV,17.692,66.0,28.0,40.0,14.0,68.0,82.0,0.42,0.61,0.21,1.03,1.24
21,Matt D'Agostini,RW,GUE,18.897,66.0,25.0,29.0,25.0,54.0,79.0,0.38,0.44,0.38,0.82,1.2
22,Jeff Kyrzakos,RW,OS,20.605,64.0,33.0,27.0,19.0,60.0,79.0,0.52,0.42,0.3,0.94,1.23
23,Sergei Kostitsyn,RW,LDN,18.492,63.0,26.0,25.0,27.0,51.0,78.0,0.41,0.4,0.43,0.81,1.24
24,Mike Angelidis,LW,OS,20.219,68.0,53.0,15.0,10.0,68.0,78.0,0.78,0.22,0.15,1.0,1.15
25,Cory Vitarelli,LW,TOR,20.211,65.0,42.0,19.0,17.0,61.0,78.0,0.65,0.29,0.26,0.94,1.2
26,Julian Talbot,C,OTT,20.48,65.0,30.0,26.0,21.0,56.0,77.0,0.46,0.4,0.32,0.86,1.18
27,John Vigilante,LW,PLY,20.313,55.0,24.0,35.0,18.0,59.0,77.0,0.44,0.64,0.33,1.07,1.4
28,Patrick McNeill,D,SAG,18.5,68.0,21.0,25.0,31.0,46.0,77.0,0.31,0.37,0.46,0.68,1.13
29,Ryan O'Marra,RW,ER,18.27,61.0,27.0,33.0,17.0,60.0,77.0,0.44,0.54,0.28,0.98,1.26
30,John Tavares,C,OSH,14.987,65.0,45.0,19.0,13.0,64.0,77.0,0.69,0.29,0.2,0.98,1.18
31,Hunter Tremblay,LW,BAR,19.666,68.0,31.0,33.0,13.0,64.0,77.0,0.46,0.49,0.19,0.94,1.13
32,Tyler Haskins,C,TOR,19.308,56.0,24.0,26.0,25.0,50.0,75.0,0.43,0.46,0.45,0.89,1.34
33,Bobby Hughes,C,KGN,17.846,56.0,35.0,26.0,14.0,61.0,75.0,0.62,0.46,0.25,1.09,1.34
34,Adam Perry,LW,LDN,18.675,68.0,27.0,31.0,15.0,58.0,73.0,0.4,0.46,0.22,0.85,1.07
35,Michael Vernace,D,BRA,19.308,68.0,10.0,37.0,25.0,47.0,72.0,0.15,0.54,0.37,0.69,1.06
36,Tyler Donati,RW,TOR,18.913,68.0,36.0,25.0,11.0,61.0,72.0,0.53,0.37,0.16,0.9,1.06
37,Ryan Hamilton,LW,BAR,20.419,63.0,46.0,19.0,7.0,65.0,72.0,0.73,0.3,0.11,1.03,1.14
38,Luch Aquino,RW,BRA,20.636,32.0,28.0,18.0,26.0,46.0,72.0,0.88,0.56,0.81,1.44,2.25
39,Nick Foligno,C,SBY,17.876,65.0,24.0,32.0,14.0,56.0,70.0,0.37,0.49,0.22,0.86,1.08
40,Howie Martin,LW,BRA,18.826,68.0,24.0,31.0,15.0,55.0,70.0,0.35,0.46,0.22,0.81,1.03
41,Tyler Kennedy,C,SSM,19.171,64.0,22.0,29.0,19.0,51.0,70.0,0.34,0.45,0.3,0.8,1.09
42,Kelsey Wilson,LW,GUE,19.647,67.0,38.0,15.0,16.0,53.0,69.0,0.57,0.22,0.24,0.79,1.03
43,Justin Azevedo,C,KIT,17.457,60.0,29.0,24.0,16.0,53.0,69.0,0.48,0.4,0.27,0.88,1.15
44,Jamie Tardif,RW,PBO,20.644,62.0,40.0,18.0,11.0,58.0,69.0,0.65,0.29,0.18,0.94,1.11
45,Cal Clutterbuck,RW,OSH,17.827,66.0,35.0,20.0,13.0,55.0,68.0,0.53,0.3,0.2,0.83,1.03
46,Aaron Snow,LW,BRA,17.323,68.0,30.0,23.0,15.0,53.0,68.0,0.44,0.34,0.22,0.78,1.0
47,Jordan Morrison,C,PBO,19.278,67.0,31.0,21.0,16.0,52.0,68.0,0.46,0.31,0.24,0.78,1.01
48,Patrick Davis,LW,KIT/WSR,18.716,60.0,35.0,16.0,17.0,51.0,68.0,0.58,0.27,0.28,0.85,1.13
49,Jordan Staal,C,PBO,17.013,68.0,28.0,22.0,18.0,50.0,68.0,0.41,0.32,0.26,0.74,1.0
50,Andrew Marshall,D,BAR,19.108,68.0,23.0,15.0,28.0,38.0,66.0,0.34,0.22,0.41,0.56,0.97
51,Benoit Pouliot,LW,SBY,18.963,51.0,35.0,19.0,11.0,54.0,65.0,0.69,0.37,0.22,1.06,1.27
52,Bobby Sanguinetti,D,OS,17.545,68.0,14.0,24.0,27.0,38.0,65.0,0.21,0.35,0.4,0.56,0.96
53,Chad Painchaud,LW,SAR,19.305,49.0,31.0,16.0,18.0,47.0,65.0,0.63,0.33,0.37,0.96,1.33
54,Liam Reddox,LW,PBO,19.634,68.0,19.0,25.0,20.0,44.0,64.0,0.28,0.37,0.29,0.65,0.94
55,Logan Couture,C,OTT,16.469,65.0,25.0,23.0,16.0,48.0,64.0,0.38,0.35,0.25,0.74,0.98
56,Kevin Baker,C,SBY,18.473,68.0,34.0,21.0,8.0,55.0,63.0,0.5,0.31,0.12,0.81,0.93
57,Adam Berti,LW,ER/OSH,19.209,62.0,33.0,16.0,14.0,49.0,63.0,0.53,0.26,0.23,0.79,1.02
58,Luke Lynes,LW,BRA,17.799,65.0,34.0,14.0,14.0,48.0,62.0,0.52,0.22,0.22,0.74,0.95
59,Ryan Wilson,D,TOR,18.615,64.0,12.0,26.0,23.0,38.0,61.0,0.19,0.41,0.36,0.59,0.95
60,Evan Brophey,C,PLY/BELV,18.785,62.0,19.0,26.0,16.0,45.0,61.0,0.31,0.42,0.26,0.73,0.98
61,James Neal,LW,PLY,18.035,66.0,21.0,17.0,20.0,38.0,58.0,0.32,0.26,0.3,0.58,0.88
62,Jakub Kindl,D,KIT,18.596,60.0,12.0,23.0,23.0,35.0,58.0,0.2,0.38,0.38,0.58,0.97
63,David Lomas,RW,KIT/WSR,20.488,65.0,29.0,15.0,14.0,44.0,58.0,0.45,0.23,0.22,0.68,0.89
64,Jamie McGinn,LW,OTT,17.112,65.0,26.0,24.0,7.0,50.0,57.0,0.4,0.37,0.11,0.77,0.88
65,Todd Griffith,LW,KGN,20.633,55.0,31.0,14.0,12.0,45.0,57.0,0.56,0.25,0.22,0.82,1.04
66,Sean O'Connor,C,ER,18.623,68.0,19.0,19.0,18.0,38.0,56.0,0.28,0.28,0.26,0.56,0.82
67,Trevor Hendrikx,D,PBO,20.466,60.0,9.0,26.0,21.0,35.0,56.0,0.15,0.43,0.35,0.58,0.93
68,Jordan Foreman,C,LDN,18.692,68.0,29.0,15.0,11.0,44.0,55.0,0.43,0.22,0.16,0.65,0.81
69,Tomas Pospisil,RW,SAR,18.059,60.0,25.0,19.0,11.0,44.0,55.0,0.42,0.32,0.18,0.73,0.92
70,Scott Lehman,D,TOR,19.694,68.0,5.0,26.0,24.0,31.0,55.0,0.07,0.38,0.35,0.46,0.81
71,Vladimir Nikiforov,RW,BAR,17.942,68.0,19.0,21.0,15.0,40.0,55.0,0.28,0.31,0.22,0.59,0.81
72,Peder Skinner,C,KGN,19.182,44.0,21.0,24.0,10.0,45.0,55.0,0.48,0.55,0.23,1.02,1.25
73,Andrej Sekera,D,OS,19.272,51.0,21.0,15.0,19.0,36.0,55.0,0.41,0.29,0.37,0.71,1.08
74,Jordan Owens,LW,MISS,19.376,66.0,26.0,18.0,10.0,44.0,54.0,0.39,0.27,0.15,0.67,0.82
