,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Kitchener Rangers,68,53,62.83,289,171,118,60.99,2796,1788,1008,10.24,0.906,100.88
1,Belleville Bulls,68,46,61.64,278,173,105,52.73,2412,2162,250,11.16,0.922,103.33
2,Sault Ste. Marie Greyhounds,68,42,59.18,245,169,76,53.8,2201,1890,311,10.77,0.911,101.87
3,Niagara IceDogs,68,40,54.99,270,221,49,52.55,2409,2175,234,11.06,0.901,101.19
4,Windsor Spitfires,68,39,58.07,277,200,77,57.93,2755,2001,754,9.86,0.902,100.09
5,Brampton Battalion,68,38,58.09,255,184,71,57.12,2659,1996,663,9.42,0.909,100.34
6,Oshawa Generals,68,35,52.95,287,255,32,51.62,2510,2352,158,11.15,0.893,100.46
7,Sarnia Sting,68,34,51.99,248,229,19,50.02,2282,2280,2,10.63,0.902,100.83
8,London Knights,68,33,51.8,245,228,17,48.62,2227,2353,-126,10.56,0.905,101.1
9,Guelph Storm,68,31,53.44,210,183,27,51.34,2082,1973,109,9.87,0.909,100.78
10,Mississauga St. Michael's Majors,68,28,45.45,200,240,-40,49.39,2171,2225,-54,8.88,0.894,98.25
11,Plymouth Whalers,68,28,50.34,222,219,3,47.11,2185,2453,-268,10.04,0.915,101.56
12,Saginaw Spirit,68,28,50.0,229,229,0,51.03,2332,2238,94,9.59,0.899,99.52
13,Peterborough Petes,68,26,44.37,197,247,-50,44.73,2094,2587,-493,9.19,0.907,99.89
14,Ottawa 67's,68,25,45.71,197,234,-37,47.89,2177,2369,-192,8.88,0.904,99.23
15,Kingston Frontenacs,68,23,42.06,225,310,-85,45.37,2142,2579,-437,10.13,0.882,98.28
16,Barrie Colts,68,21,44.72,178,220,-42,44.72,2003,2476,-473,8.8,0.913,100.13
17,Owen Sound Attack,68,18,40.99,198,285,-87,48.2,2396,2575,-179,8.03,0.893,97.31
18,Erie Otters,68,16,37.43,204,341,-137,44.08,2228,2826,-598,8.99,0.881,97.11
19,Sudbury Wolves,68,15,37.45,173,289,-116,41.97,1993,2756,-763,8.63,0.899,98.51
