,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,London Knights,476,291,59.998,1952,1449,503,52.148,16854,15506,1348,12.536,0.909,103.393
1,Barrie Colts,476,252,56.924,1865,1566,299,50.3,16155,16099,56,11.663,0.91,102.592
2,Sault Ste. Marie Greyhounds,476,239,54.679,1799,1624,175,51.09,15949,15658,291,11.248,0.904,101.584
3,Kitchener Rangers,476,233,52.728,1657,1518,139,53.004,17073,16010,1063,9.712,0.904,100.147
4,Erie Otters,476,229,57.896,1798,1688,110,54.314,15902,15645,257,11.562,0.9,101.549
5,Oshawa Generals,476,227,52.627,1658,1523,135,53.16,16733,14961,1772,9.51,0.904,99.838
6,Owen Sound Attack,476,226,50.408,1602,1514,88,51.4,16351,15762,589,9.177,0.904,99.564
7,Guelph Storm,476,224,44.052,1693,1668,25,46.147,16105,16663,-558,9.147,0.9,99.106
8,Windsor Spitfires,476,224,50.768,1740,1707,33,51.136,16853,15752,1101,10.301,0.896,99.915
9,Niagara IceDogs,476,223,51.537,1671,1542,129,52.443,16457,15055,1402,9.748,0.899,99.57
10,Ottawa 67's,476,208,49.854,1669,1685,-16,48.91,14993,16481,-1488,10.988,0.896,100.521
11,Saginaw Spirit,476,205,44.773,1647,1741,-94,48.044,15851,16888,-1037,9.554,0.889,98.434
12,Kingston Frontenacs,476,199,53.096,1602,1710,-108,53.082,16665,16511,154,9.234,0.908,100.062
13,Plymouth Whalers,408,196,47.0,1429,1300,129,46.406,13778,14317,-539,9.459,0.91,100.457
14,Sarnia Sting,476,179,50.996,1594,1878,-284,50.658,14780,16368,-1588,10.825,0.894,100.187
15,Peterborough Petes,476,172,46.28,1502,1877,-375,48.189,15909,17164,-1255,9.711,0.896,99.236
16,Sudbury Wolves,476,160,37.76,1415,1872,-457,45.055,14959,17337,-2378,8.293,0.888,97.009
17,Belleville Bulls,408,145,45.638,1176,1433,-257,47.613,13346,14316,-970,8.721,0.906,99.244
18,Brampton Battalion,272,112,50.524,740,747,-7,55.718,9190,7283,1907,8.006,0.902,98.205
19,North Bay Battalion,204,101,53.032,688,600,88,53.472,6745,5650,1095,10.183,0.896,99.762
20,Mississauga Steelheads,272,94,44.624,725,965,-240,46.3,8097,9393,-1296,9.449,0.901,99.553
21,Mississauga St. Michael's Majors,136,66,51.835,414,386,28,50.735,4352,4237,115,9.3,0.91,100.34
22,Mississauga St. Michaels Majors,68,49,62.75,283,168,115,58.69,2543,1790,753,10.78,0.908,101.6
23,Hamilton Bulldogs,68,25,43.11,197,260,-63,45.86,1955,2308,-353,9.8,0.891,98.88
24,Flint Firebirds,68,18,39.65,182,277,-95,44.93,1955,2396,-441,9.03,0.887,97.73
