,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Alex DeBrincat,RW,ER,18.243,123.0,116.0,64.0,48.0,180.0,228.0,577.0,20.03,0.94,0.52,0.39,1.46,1.85,4.685,44.63,0.72,18.0,57.0,31.665,23.0,84.0,27.38,75.0,436.0,17.035,281.0,522.0,53.645
1,Dylan Strome,C,ER,19.026,91.0,59.0,80.0,47.0,139.0,186.0,372.0,15.77,0.645,0.895,0.52,1.54,2.06,4.09,27.185,0.595,14.0,55.0,24.93,15.0,83.0,17.88,30.0,234.0,12.89,1093.0,1778.0,61.07
2,Taylor Raddysh,RW,ER,18.073,125.0,66.0,73.0,43.0,139.0,182.0,443.0,14.97,0.54,0.59,0.355,1.13,1.485,3.56,30.385,0.49,18.0,86.0,21.55,10.0,78.0,13.385,38.0,279.0,13.365,18.0,30.0,56.25
3,Adam Mascherin,LW,KIT,17.777,130.0,70.0,66.0,45.0,136.0,181.0,538.0,13.035,0.54,0.51,0.345,1.045,1.395,4.14,31.93,0.49,12.0,55.0,21.485,8.0,71.0,11.38,50.0,412.0,12.245,34.0,90.0,40.18
4,Petrus Palmu,RW,OS,18.667,114.0,63.0,56.0,28.0,119.0,147.0,479.0,12.915,0.545,0.48,0.235,1.025,1.26,4.175,25.19,0.435,10.0,35.0,28.43,9.0,45.0,20.06,44.0,399.0,10.75,62.0,115.0,54.945
5,Jeremy Bracco,RW,KIT/WSR,18.998,106.0,46.0,67.0,34.0,113.0,147.0,277.0,16.76,0.435,0.625,0.32,1.06,1.385,2.6,19.625,0.365,7.0,39.0,20.285,16.0,56.0,29.165,23.0,182.0,12.49,4.0,11.0,20.0
6,Jordan Kyrou,RW,SAR,17.865,131.0,47.0,55.0,43.0,102.0,145.0,392.0,11.755,0.355,0.42,0.33,0.775,1.1,2.99,25.055,0.385,14.0,59.0,22.745,11.0,69.0,15.83,22.0,264.0,8.365,319.0,637.0,50.065
7,Spencer Watson,RW,KGN/MISS,19.891,105.0,71.0,44.0,27.0,115.0,142.0,522.0,14.375,0.675,0.4,0.26,1.08,1.34,4.82,33.055,0.625,21.0,87.0,26.04,15.0,75.0,20.18,35.0,360.0,10.12,17.0,40.0,47.135
8,Ryan Moore,LW,FLNT,18.935,136.0,64.0,47.0,27.0,111.0,138.0,418.0,15.61,0.47,0.345,0.2,0.815,1.015,3.075,25.24,0.37,6.0,44.0,13.75,23.0,66.0,36.31,35.0,308.0,11.355,1244.0,2454.0,50.74
9,Artur Tyanulin,RW,OTT,19.152,134.0,44.0,62.0,31.0,106.0,137.0,294.0,15.325,0.33,0.46,0.23,0.79,1.025,2.195,20.805,0.31,12.0,54.0,22.72,14.0,56.0,25.715,18.0,184.0,9.985,6.0,27.0,19.41
10,JJ Piccinich,RW,LDN,19.76,132.0,56.0,57.0,24.0,113.0,137.0,329.0,17.065,0.42,0.43,0.18,0.855,1.04,2.49,25.24,0.385,22.0,75.0,28.84,10.0,66.0,15.02,24.0,188.0,12.82,61.0,117.0,51.92
11,Kyle Maksimovich,LW,ER,18.018,132.0,43.0,53.0,39.0,96.0,135.0,298.0,14.34,0.325,0.4,0.295,0.725,1.02,2.26,18.135,0.27,12.0,45.0,23.33,7.0,40.0,17.42,24.0,213.0,11.33,48.0,97.0,49.59
12,Nick Suzuki,C,OS,16.6,128.0,65.0,44.0,25.0,109.0,134.0,450.0,13.91,0.505,0.345,0.195,0.845,1.04,3.51,28.47,0.44,16.0,66.0,24.165,7.0,56.0,11.9,42.0,328.0,12.13,702.0,1400.0,50.045
13,Michael McLeod,C,MISS,18.114,114.0,48.0,52.0,34.0,100.0,134.0,345.0,13.9,0.42,0.455,0.3,0.875,1.175,3.025,24.105,0.425,20.0,82.0,23.625,18.0,68.0,25.715,10.0,195.0,5.09,1579.0,2646.0,59.625
14,Zachary Senyshyn,RW,SSM,18.963,125.0,87.0,28.0,15.0,115.0,130.0,524.0,16.6,0.695,0.225,0.12,0.92,1.04,4.2,40.165,0.645,30.0,126.0,23.7,27.0,94.0,28.76,30.0,304.0,9.89,7.0,26.0,26.785
15,Bobby MacIntyre,LW,SSM,19.519,125.0,48.0,41.0,39.0,89.0,128.0,339.0,14.18,0.38,0.325,0.31,0.71,1.02,2.71,18.04,0.285,11.0,44.0,25.79,13.0,36.0,38.885,24.0,259.0,9.225,123.0,322.0,36.415
16,Kevin  Labanc,RW,BAR,19.759,65.0,39.0,61.0,27.0,100.0,127.0,253.0,15.42,0.6,0.94,0.42,1.54,1.95,3.89,33.38,0.51,12.0,33.0,36.36,10.0,44.0,22.73,17.0,176.0,9.66,14.0,38.0,36.84
17,Dmitry Sokolov,RW,SBY,17.922,132.0,78.0,30.0,16.0,108.0,124.0,499.0,15.45,0.595,0.23,0.12,0.825,0.94,3.795,30.58,0.465,20.0,65.0,30.25,16.0,60.0,26.12,42.0,374.0,11.175,7.0,17.0,39.285
18,Anthony Cirelli,C,OSH/ER,18.67,113.0,46.0,43.0,34.0,89.0,123.0,330.0,13.985,0.415,0.38,0.305,0.795,1.1,2.94,22.14,0.395,13.0,81.0,16.1,8.0,54.0,15.835,25.0,195.0,12.8,1349.0,2432.0,55.74
19,Will Bitten,C,FLNT/HAM,17.684,132.0,53.0,45.0,24.0,98.0,122.0,318.0,16.96,0.4,0.34,0.18,0.745,0.925,2.415,22.955,0.345,16.0,60.0,26.785,15.0,61.0,24.89,22.0,197.0,11.47,393.0,953.0,41.145
20,Darren Raddysh,D,ER,20.047,128.0,24.0,44.0,53.0,68.0,121.0,362.0,6.48,0.19,0.35,0.42,0.54,0.96,2.835,10.99,0.175,1.0,13.0,7.145,3.0,19.0,15.48,20.0,330.0,5.95,2.0,8.0,14.285
21,Christian  Dvorak,C,LDN,19.617,59.0,52.0,34.0,35.0,86.0,121.0,192.0,27.08,0.88,0.58,0.59,1.46,2.05,3.25,37.09,0.63,20.0,51.0,39.22,6.0,52.0,11.54,26.0,89.0,29.21,806.0,1335.0,60.37
22,Brett McKenzie,C,NB,19.012,133.0,55.0,39.0,26.0,94.0,120.0,474.0,11.985,0.41,0.29,0.195,0.71,0.9,3.56,27.215,0.41,8.0,50.0,15.105,18.0,82.0,23.65,29.0,342.0,8.695,1111.0,2552.0,43.645
23,Kole Sherwood,RW,LDN/FLNT,19.146,123.0,45.0,41.0,33.0,86.0,119.0,435.0,9.845,0.37,0.335,0.27,0.705,0.98,3.57,22.935,0.38,14.0,50.0,28.18,12.0,76.0,13.075,19.0,309.0,5.62,37.0,84.0,43.405
