,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,London Knights,204,133,58.82,838,581,257,50.683,6520,6342,178,12.263,0.911,103.377,55.4,251.213,201.35,49.863,11.607,0.904,102.053,14.786,0.197,14.018,0.2,210,135,75,60.267,924,630,294,59.413,21.957,0.793,171,124,47,58.733,934,803,131,53.583,18.423,0.849,457,322,135,58.483,4662,4909,-247,48.727,9.13,0.937
1,Sault Ste. Marie Greyhounds,204,128,57.313,839,622,217,52.437,6848,6214,634,11.767,0.903,102.077,55.203,249.187,201.39,47.797,10.947,0.903,101.193,18.482,0.246,1.055,0.019,215,146,69,59.48,849,767,82,52.637,24.283,0.817,176,121,55,59.467,862,722,140,54.373,20.483,0.834,448,355,93,55.493,5137,4725,412,52.093,8.29,0.928
2,Kitchener Rangers,204,119,52.997,742,661,81,50.373,6504,6407,97,11.21,0.901,101.337,52.97,242.137,215.343,26.793,11.2,0.899,101.09,-0.47,0.003,5.009,0.072,183,173,10,51.377,859,756,103,53.223,21.137,0.774,164,141,23,53.94,1015,778,237,56.373,16.427,0.824,395,347,48,53.373,4630,4873,-243,48.73,8.243,0.933
3,Owen Sound Attack,204,112,55.177,788,636,152,56.98,7597,5737,1860,10.02,0.892,99.197,56.567,256.483,196.407,60.077,10.14,0.897,99.853,-2.482,-0.036,-9.928,-0.162,153,165,-12,47.727,778,738,40,51.587,19.053,0.775,189,145,44,56.387,967,839,128,53.83,19.167,0.828,446,326,120,58.067,5852,4160,1692,58.447,7.3,0.925
4,Erie Otters,204,111,55.727,794,631,163,54.52,6758,5641,1117,11.357,0.891,100.503,55.563,246.167,197.1,49.073,10.963,0.895,100.48,10.164,0.119,-7.902,-0.111,191,166,25,53.78,852,678,174,55.79,22.143,0.762,166,128,38,56.93,949,882,67,52.257,17.177,0.858,437,337,100,56.11,4957,4081,876,54.773,8.38,0.92
5,Windsor Spitfires,204,110,53.593,696,603,93,50.41,6176,6069,107,10.937,0.905,101.46,51.053,216.96,208.653,8.307,10.56,0.897,100.23,7.373,0.112,17.653,0.257,175,130,45,58.117,792,697,95,53.86,21.573,0.821,139,136,3,50.977,835,852,-17,49.937,16.623,0.843,382,337,45,53.037,4549,4520,29,50.107,8.047,0.93
6,Sarnia Sting,204,108,54.303,799,678,121,49.757,6618,6724,-106,11.917,0.902,102.14,52.09,245.657,226.747,18.91,11.147,0.898,100.993,17.009,0.232,8.08,0.112,216,163,53,56.377,865,749,116,53.493,24.707,0.785,160,157,3,50.09,972,886,86,52.26,16.12,0.823,423,358,65,54.71,4781,5089,-308,48.67,8.69,0.934
7,Kingston Frontenacs,204,105,53.01,664,582,82,51.99,6787,6258,529,9.433,0.91,100.45,53.757,236.293,202.463,33.83,10.463,0.903,100.723,-23.294,-0.309,16.129,0.226,172,151,21,53.72,812,688,124,53.77,21.053,0.781,157,142,15,52.55,948,958,-10,49.787,16.193,0.856,335,289,46,53.5,5027,4612,415,52.147,6.283,0.941
8,Barrie Colts,204,96,51.633,778,722,56,49.617,6679,6776,-97,11.093,0.896,100.717,48.803,232.467,241.92,-9.45,10.457,0.892,99.7,14.866,0.191,8.587,0.115,184,176,8,50.767,829,879,-50,48.323,21.26,0.802,183,168,15,51.537,926,947,-21,49.16,18.777,0.827,411,378,33,51.773,4924,4950,-26,49.88,7.903,0.926
9,Hamilton Bulldogs,204,95,49.87,681,685,-4,51.177,6546,6241,305,10.143,0.893,99.42,52.01,228.777,209.217,19.56,10.457,0.899,100.37,-7.777,-0.095,-13.452,-0.189,186,183,3,49.62,875,733,142,54.103,20.543,0.759,165,148,17,52.81,951,787,164,54.457,17.473,0.814,330,354,-24,48.31,4720,4721,-1,50.03,6.727,0.927
10,Mississauga Steelheads,204,94,50.503,700,686,14,50.473,6580,6433,147,10.373,0.897,100.037,50.107,225.897,223.523,2.373,10.307,0.895,99.847,0.435,0.019,2.859,0.038,177,192,-15,48.007,753,880,-127,46.113,23.033,0.786,169,151,18,52.597,929,874,55,51.46,18.28,0.828,354,343,11,50.77,4898,4679,219,51.023,6.923,0.93
11,Oshawa Generals,204,93,49.107,665,687,-22,49.213,6372,6581,-209,9.97,0.899,99.873,49.31,208.763,214.327,-5.567,9.88,0.902,100.053,1.902,0.026,-5.67,-0.08,177,170,7,50.66,729,717,12,50.41,23.24,0.766,148,153,-5,48.98,842,865,-23,49.29,17.06,0.825,340,364,-24,48.26,4801,4999,-198,49.05,6.653,0.93
12,Peterborough Petes,204,90,48.083,693,752,-59,47.357,6520,7244,-724,10.33,0.899,100.23,46.197,215.583,251.31,-35.723,9.943,0.896,99.507,8.081,0.116,8.31,0.1,148,194,-46,43.283,705,935,-230,42.84,21.02,0.796,146,183,-37,44.34,841,989,-148,46.263,17.17,0.817,399,375,24,51.693,4974,5320,-346,48.317,7.66,0.932
13,Niagara IceDogs,204,89,48.67,656,697,-41,48.9,6637,7008,-371,9.56,0.904,99.943,46.983,211.147,240.7,-29.547,9.58,0.896,99.243,-0.482,-0.006,17.364,0.217,169,189,-20,47.527,722,838,-116,46.373,22.637,0.78,141,173,-32,45.377,793,933,-140,46.15,17.673,0.819,346,335,11,50.857,5122,5237,-115,49.75,6.51,0.938
14,Ottawa 67's,204,87,47.64,675,745,-70,49.233,6172,6375,-203,10.577,0.888,99.337,49.07,221.463,231.147,-9.683,10.813,0.891,99.91,-5.131,-0.071,-6.851,-0.1,157,171,-14,48.287,777,783,-6,50.25,19.713,0.789,163,163,0,50.367,977,1011,-34,49.393,16.517,0.836,355,411,-56,46.387,4418,4581,-163,49.1,7.653,0.915
15,North Bay Battalion,204,81,47.033,637,716,-79,50.047,6413,6403,10,9.693,0.892,98.933,47.58,204.487,225.347,-20.86,9.593,0.894,98.99,1.847,0.029,-3.319,-0.045,156,176,-20,46.867,704,742,-38,48.62,21.827,0.766,144,157,-13,47.987,847,881,-34,48.9,16.953,0.825,337,383,-46,46.667,4862,4780,82,50.447,6.68,0.924
16,Saginaw Spirit,204,73,44.157,602,763,-161,49.057,6406,6655,-249,8.97,0.889,97.797,46.773,205.717,234.03,-28.31,9.677,0.894,99.08,-15.05,-0.21,-13.306,-0.173,139,197,-58,41.353,721,805,-84,47.327,18.72,0.756,131,171,-40,43.237,876,877,-1,49.97,14.407,0.805,332,395,-63,45.93,4809,4973,-164,49.193,6.533,0.924
17,Flint Firebirds,204,65,42.13,600,828,-228,49.093,6542,6782,-240,8.867,0.881,96.967,44.72,205.72,253.743,-48.023,9.433,0.887,98.157,-13.052,-0.171,-14.925,-0.186,126,190,-64,40.157,663,913,-250,42.28,18.33,0.795,163,185,-22,46.597,833,979,-146,45.83,19.21,0.813,311,453,-142,41.027,5046,4890,156,50.823,5.937,0.911
18,Guelph Storm,204,59,40.463,581,849,-268,45.24,6219,7521,-1302,8.993,0.891,98.1,42.86,200.347,265.4,-65.06,9.657,0.894,99.013,-13.344,-0.2,-6.597,-0.075,149,191,-42,43.97,699,923,-224,43.103,21.223,0.798,126,160,-34,43.73,823,935,-112,46.85,15.203,0.831,306,498,-192,37.86,4697,5663,-966,45.337,6.07,0.916
19,Sudbury Wolves,204,54,39.79,581,883,-302,44.64,6087,7553,-1466,9.287,0.887,98.03,43.24,204.03,268.307,-64.273,10.097,0.893,99.393,-16.364,-0.242,-14.029,-0.167,177,202,-25,47.027,817,875,-58,48.46,21.34,0.776,123,219,-96,36.337,800,1121,-321,41.82,15.25,0.806,281,462,-181,37.823,4470,5557,-1087,44.577,6.017,0.922
