,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Jordan Kyrou,RW,SAR,18.865,122,69,75,59,144,203,389,18.47,0.575,0.62,0.49,1.195,1.685,3.17,28.975,0.475,20,66,30.425,13,69,19.68,36,254,15.375,198,395,49.725
1,Nick Suzuki,C,OS,17.6,129,87,65,44,152,196,542,16.095,0.675,0.505,0.345,1.18,1.52,4.205,36.615,0.565,18,75,24.04,20,76,25.21,49,391,12.615,748,1446,51.785
2,Taylor Raddysh,RW,ER/SSM/ER,19.074,116,75,70,47,145,192,430,17.42,0.645,0.605,0.405,1.25,1.655,3.71,32.66,0.565,19,80,23.86,11,67,16.4,45,283,15.82,72,133,52.165
3,Adam Mascherin,LW,KIT,18.778,132,75,71,40,146,186,534,14.125,0.57,0.54,0.305,1.105,1.41,4.05,33.535,0.51,13,57,22.725,10,77,12.915,52,400,13.26,27,81,35.18
4,Morgan Frost,C,SSM,17.841,134,62,70,42,132,174,342,17.54,0.465,0.52,0.31,0.985,1.3,2.555,20.96,0.315,17,43,38.8,12,50,23.51,33,249,12.725,1163,2220,52.45
5,Aaron Luchuk,C,WSR/WSR/BAR,19.947,136,78,57,39,135,174,464,16.545,0.575,0.42,0.29,0.99,1.28,3.41,33.15,0.49,27,95,27.855,18,69,26.06,33,300,10.825,1533,2779,54.94
6,Cliff Pu,C,LDN/LDN/KGN,18.786,128,64,61,45,125,170,394,16.38,0.505,0.475,0.355,0.975,1.33,3.075,29.38,0.455,17,79,22.03,19,72,26.225,28,243,11.63,1327,2172,61.2
7,Dmitry Sokolov,RW,SBY/BAR/SBY,18.923,128,98,42,28,140,168,536,18.285,0.765,0.33,0.22,1.095,1.31,4.19,41.25,0.645,22,62,36.705,26,80,32.815,50,394,12.685,6,17,34.285
8,Jason Robertson,RW,KGN,17.652,136,83,49,36,132,168,609,13.63,0.61,0.36,0.265,0.975,1.235,4.48,42.185,0.625,17,74,23.015,22,116,18.835,44,419,10.52,4,16,25.0
9,Kevin Hancock,LW,OS,19.04,121,54,66,34,120,154,470,11.565,0.445,0.555,0.275,1.005,1.275,3.965,27.81,0.465,9,47,19.595,16,73,22.635,29,350,8.605,844,1555,54.71
