,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,19.341,51,36,44,20,80,100,219,16.44,0.71,0.86,0.39,1.57,1.96,4.29,26.73,0.52,8,27,29.63,1,17,5.88,27,175,15.43,584,1169,49.96
1,Jason Robertson,RW,KGN/NIAG,19.152,52,42,35,20,77,97,252,16.67,0.81,0.67,0.38,1.48,1.87,4.85,32.74,0.63,7,30,23.33,6,48,12.5,29,174,16.67,2,8,25.0
2,Tye Felhaber,RW,OTT,20.113,57,51,28,15,79,94,241,21.16,0.89,0.49,0.26,1.39,1.65,4.23,27.74,0.49,8,28,28.57,11,36,30.56,32,177,18.08,25,50,50.0
3,Kevin Hancock,C,LDN/OS,20.54,60,47,33,14,80,94,288,16.32,0.78,0.55,0.23,1.33,1.57,4.8,27.04,0.45,10,25,40.0,8,37,21.62,29,226,12.83,624,1103,56.57
4,Justin Brazeau,RW,NB,20.616,58,50,28,15,78,93,264,18.94,0.86,0.48,0.26,1.34,1.6,4.55,34.49,0.59,13,56,23.21,12,48,25.0,25,160,15.62,34,77,44.16
5,Arthur Kaliyev,RW,HAM,17.221,59,47,25,21,72,93,279,16.85,0.8,0.42,0.36,1.22,1.58,4.73,39.88,0.68,12,36,33.33,6,38,15.79,29,205,14.15,0,3,0.0
6,Brandon Saigeon,C,HAM/OSH,20.255,59,36,29,20,65,85,240,15.0,0.61,0.49,0.34,1.1,1.44,4.07,24.56,0.42,6,18,33.33,8,22,36.36,22,200,11.0,528,1097,48.13
7,Akil Thomas,C,NIAG,18.703,53,30,30,25,60,85,172,17.44,0.57,0.57,0.47,1.13,1.6,3.25,22.07,0.42,10,31,32.26,4,28,14.29,16,113,14.16,430,787,54.64
8,Ben Jones,C,NIAG,19.551,58,35,38,11,73,84,195,17.95,0.6,0.66,0.19,1.26,1.45,3.36,27.75,0.48,13,52,25.0,10,31,32.26,12,112,10.71,593,1131,52.43
9,Nate Schnarr,RW,GUE,19.554,55,27,33,23,60,83,159,16.98,0.49,0.6,0.42,1.09,1.51,2.89,20.99,0.38,7,32,21.88,6,29,20.69,14,98,14.29,369,699,52.79
10,Anthony Salinitri,LW,OSH/SAR,20.532,59,40,22,16,62,78,234,17.09,0.68,0.37,0.27,1.05,1.32,3.97,29.51,0.5,7,35,20.0,11,48,22.92,22,151,14.57,192,377,50.93
11,Kyle Maksimovich,LW,ER/OTT,20.518,58,35,24,19,59,78,169,20.71,0.6,0.41,0.33,1.02,1.34,2.91,19.84,0.34,3,19,15.79,12,31,38.71,20,119,16.81,32,102,31.37
12,Greg Meireles,RW,KIT,19.705,58,30,26,19,56,75,207,14.49,0.52,0.45,0.33,0.97,1.29,3.57,22.84,0.39,7,31,22.58,9,32,28.12,14,144,9.72,504,938,53.73
13,Austen Keating,C,OTT,19.527,57,20,32,22,52,74,127,15.75,0.35,0.56,0.39,0.91,1.3,2.23,18.59,0.33,6,28,21.43,6,27,22.22,8,72,11.11,151,294,51.36
14,Matthew Strome,LW,HAM,19.691,60,27,25,22,52,74,175,15.43,0.45,0.42,0.37,0.87,1.23,2.92,24.32,0.41,11,41,26.83,6,30,20.0,10,104,9.62,166,360,46.11
15,Lucas Chiodo,LW,BAR/OTT,19.874,58,26,29,18,55,73,135,19.26,0.45,0.5,0.31,0.95,1.26,2.33,19.12,0.33,9,21,42.86,3,23,13.04,14,91,15.38,2,9,22.22
16,Serron Noel,RW,OSH,18.103,59,32,25,16,57,73,160,20.0,0.54,0.42,0.27,0.97,1.24,2.71,25.08,0.43,13,43,30.23,6,36,16.67,13,81,16.05,6,22,27.27
