,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Ottawa 67's,66,48,61.88,289,178,111,55.42,2207,1775,432,12.62,0.901,102.69,56.65,200.85,153.71,47.14,9.15,0.913,100.48,76.15,1.041,-22.29,-0.377,58,33,25,63.74,237,165,72,58.96,23.5,0.805,54,36,18,60.0,293,282,11,50.96,18.43,0.872,177,109,68,61.89,1677,1328,349,55.81,10.07,0.919
1,Saginaw Spirit,68,44,57.68,293,215,78,52.01,2354,2172,182,11.96,0.904,102.35,52.55,220.77,199.31,21.46,9.43,0.908,100.22,59.227,0.759,-8.688,-0.12,65,39,26,62.5,301,253,48,54.33,21.33,0.849,79,45,34,63.71,361,292,69,55.28,21.67,0.849,149,131,18,53.21,1692,1627,65,50.98,8.21,0.922
2,Sault Ste. Marie Greyhounds,68,44,56.7,292,223,69,51.43,2264,2138,126,12.12,0.899,102.07,53.25,216.99,190.53,26.46,9.67,0.911,100.72,55.011,0.735,-23.466,-0.331,61,61,0,50.0,307,279,28,52.39,19.08,0.784,58,51,7,53.21,274,263,11,51.02,20.88,0.809,173,111,62,60.92,1683,1596,87,51.33,9.42,0.935
3,London Knights,68,42,58.42,295,210,85,53.89,2482,2124,358,11.21,0.905,101.75,54.25,234.59,197.84,36.75,9.52,0.906,100.17,41.414,0.504,-2.16,-0.031,87,60,27,59.18,315,283,32,52.68,25.73,0.796,66,59,7,52.8,363,315,48,53.54,16.81,0.813,142,91,51,60.94,1804,1526,278,54.17,7.62,0.945
4,Niagara IceDogs,68,42,60.79,324,209,115,54.11,2587,2194,393,12.08,0.906,102.64,56.26,248.7,193.35,55.35,9.66,0.912,100.84,62.301,0.726,-13.652,-0.187,82,53,29,60.74,335,281,54,54.38,24.02,0.814,76,39,37,66.09,368,310,58,54.28,20.22,0.874,166,117,49,58.66,1884,1603,281,54.03,8.37,0.928
5,Oshawa Generals,68,41,56.89,285,216,69,51.4,2271,2147,124,12.08,0.904,102.49,56.26,221.59,172.29,49.3,9.81,0.919,101.74,51.407,0.683,-32.711,-0.459,85,49,36,63.43,307,198,109,60.79,27.21,0.76,61,44,17,58.1,326,243,83,57.29,18.21,0.826,139,123,16,53.05,1638,1706,-68,48.98,8.04,0.932
6,Guelph Storm,68,40,57.68,308,226,82,51.86,2359,2190,169,12.76,0.897,102.48,55.5,237.46,190.41,47.05,10.1,0.913,101.4,62.541,0.798,-34.59,-0.474,68,46,22,59.65,358,278,80,56.29,17.85,0.835,75,39,36,65.79,340,270,70,55.74,21.83,0.856,165,141,24,53.92,1661,1642,19,50.29,9.83,0.915
7,Sudbury Wolves,68,40,55.16,251,204,47,51.34,2228,2112,116,10.91,0.907,101.63,51.09,193.22,184.96,8.26,8.71,0.912,99.91,48.779,0.659,-10.042,-0.143,55,50,5,52.38,232,225,7,50.77,23.04,0.788,62,46,16,57.41,331,271,60,54.98,18.24,0.83,134,108,26,55.37,1665,1616,49,50.75,7.77,0.937
8,Kitchener Rangers,68,33,48.45,250,266,-16,49.19,2128,2198,-70,11.42,0.884,99.8,48.72,190.81,200.82,-10.01,9.0,0.908,99.81,51.187,0.724,-53.177,-0.73,59,69,-10,46.09,269,279,-10,49.09,21.64,0.758,69,62,7,52.67,341,293,48,53.79,20.23,0.797,122,135,-13,47.47,1518,1626,-108,48.28,7.61,0.921
9,Peterborough Petes,68,31,47.74,232,254,-22,48.08,2181,2355,-174,10.18,0.896,99.82,44.62,178.52,221.58,-43.06,8.23,0.905,98.77,42.481,0.587,-21.421,-0.274,45,70,-25,39.13,214,336,-122,38.91,19.52,0.799,55,46,9,54.46,274,310,-36,46.92,20.07,0.857,132,138,-6,48.89,1693,1709,-16,49.76,7.41,0.922
10,North Bay Battalion,68,30,45.19,230,279,-49,44.49,2054,2563,-509,10.98,0.894,100.41,44.14,179.12,226.68,-47.56,8.74,0.911,99.87,45.88,0.672,-43.322,-0.509,61,58,3,51.26,262,282,-20,48.16,22.99,0.797,50,57,-7,46.73,230,344,-114,40.07,21.74,0.839,119,164,-45,42.05,1562,1937,-375,44.64,7.38,0.918
11,Owen Sound Attack,68,30,45.05,223,272,-49,52.51,2336,2113,223,9.0,0.874,96.42,51.97,201.71,186.38,15.33,8.69,0.911,99.84,7.29,0.094,-78.616,-1.12,46,57,-11,44.66,196,243,-47,44.65,22.28,0.772,52,69,-17,42.98,323,268,55,54.65,16.1,0.748,125,146,-21,46.13,1817,1602,215,53.14,6.31,0.911
12,Mississauga Steelheads,68,29,48.76,236,248,-12,53.98,2467,2103,364,9.2,0.887,97.87,51.85,223.02,207.06,15.95,9.08,0.901,99.18,2.983,0.036,-29.936,-0.429,63,59,4,51.64,308,284,24,52.03,20.2,0.798,47,56,-9,45.63,327,333,-6,49.55,14.37,0.834,126,133,-7,48.65,1832,1486,346,55.21,6.42,0.915
