,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Quebec Remparts,756,433,54.689,3004,2341,663,49.28,24474,23234,1240,12.298,0.902,102.44
1,Moncton Wildcats,756,402,53.083,2674,2280,394,50.522,24303,22993,1310,11.632,0.896,101.228
2,Drummondville Voltigeurs,756,381,48.614,2678,2449,229,51.266,24890,21289,3601,10.208,0.889,99.03
3,Gatineau Olympiques,756,360,50.018,2637,2539,98,50.606,22113,22018,95,11.493,0.883,99.8
4,Halifax Mooseheads,756,353,53.688,2668,2603,65,53.379,24533,22594,1939,11.07,0.89,100.08
5,Shawinigan Cataractes,756,346,48.744,2536,2532,4,47.463,23152,24294,-1142,10.516,0.901,100.601
6,Rouyn-Noranda Huskies,756,344,49.554,2726,2808,-82,52.087,23137,22302,835,11.737,0.87,98.816
7,Rimouski Oceanic,756,344,56.518,2730,2708,22,53.408,23642,23585,57,11.532,0.896,101.098
8,Cape Breton Screaming Eagles,756,343,47.945,2505,2585,-80,50.084,23977,22759,1218,10.974,0.882,99.078
9,Victoriaville Tigres,756,331,49.874,2654,2668,-14,47.863,23713,24759,-1046,11.537,0.894,100.899
10,Chicoutimi Sagueneens,756,328,45.262,2439,2480,-41,48.72,22280,23067,-787,9.225,0.894,98.557
11,Baie-Comeau Drakkar,756,313,52.132,2494,2725,-231,51.173,23135,23550,-415,10.438,0.899,100.288
12,Val-d'Or Foreurs,756,306,52.683,2589,2837,-248,51.904,23182,24096,-914,12.058,0.884,100.374
13,Saint John Sea Dogs,686,302,47.246,2332,2402,-70,47.68,21329,22489,-1160,10.066,0.898,99.884
14,Acadie-Bathurst Titan,756,284,39.244,2432,2747,-315,46.461,23165,24514,-1349,8.635,0.887,97.234
15,PEI Rocket,620,251,48.734,2048,2304,-256,48.26,18360,21155,-2795,10.831,0.89,99.899
16,Lewiston MAINEiacs,484,228,49.212,1608,1609,-1,49.97,15359,15064,295,10.898,0.89,99.812
17,Blainville-Boisbriand Armada,272,149,56.925,1003,762,241,53.532,8135,7103,1032,11.856,0.896,101.426
18,St. John's Fog Devils,210,82,46.228,656,809,-153,47.59,6472,7175,-703,9.915,0.894,99.328
19,Montreal Junior,136,62,50.79,423,410,13,49.45,4190,4286,-96,9.71,0.907,100.375
20,Sherbrooke Phoenix,204,59,43.295,582,812,-230,46.095,5580,6926,-1346,10.34,0.884,98.692
21,Charlottetown Islanders,136,48,45.07,404,490,-86,47.81,4335,4739,-404,9.145,0.901,99.23
22,Montreal Juniors,68,41,58.9,258,180,78,56.53,2315,1780,535,10.8,0.899,100.74
