,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Francois Bouchard,RW,BAC,18.388,68,45,42,38,87,125,252,17.86,0.66,0.62,0.56,1.28,1.84,3.71
1,Thomas Beauregard,RW,BAT,20.597,69,71,31,22,102,124,382,18.59,1.03,0.45,0.32,1.48,1.8,5.54
2,Mathieu Perreault,C,BAT,18.694,67,41,54,24,95,119,257,15.95,0.61,0.81,0.36,1.42,1.78,3.84
3,Claude Giroux,RW,GAT,18.675,63,48,32,32,80,112,184,26.09,0.76,0.51,0.51,1.27,1.78,2.92
4,David Desharnais,C,CHI,20.003,61,38,39,31,77,108,188,20.21,0.62,0.64,0.51,1.26,1.77,3.08
5,Brent Aubin,RW,QUE,20.244,68,51,35,19,86,105,317,16.09,0.75,0.51,0.28,1.26,1.54,4.66
6,Viatcheslav Trukhno,LW,GAT,19.562,60,25,49,28,74,102,192,13.02,0.42,0.82,0.47,1.23,1.7,3.2
7,Morten Madsen,C,VIC,19.664,62,32,43,25,75,100,246,13.01,0.52,0.69,0.4,1.21,1.61,3.97
8,Benoit Doucet,LW,VIC,20.469,64,43,30,27,73,100,254,16.93,0.67,0.47,0.42,1.14,1.56,3.97
9,Jerome Samson,RW,VDO/MON,19.031,71,44,38,17,82,99,337,13.06,0.62,0.54,0.24,1.15,1.39,4.75
10,David Laliberte,RW,PEI,20.499,68,50,31,17,81,98,298,16.78,0.74,0.46,0.25,1.19,1.44,4.38
11,Cam Fergus,C,CAP,19.962,63,53,23,22,76,98,266,19.92,0.84,0.37,0.35,1.21,1.56,4.22
12,James Sheppard,C,CAP,18.391,56,33,44,19,77,96,176,18.75,0.59,0.79,0.34,1.38,1.71,3.14
13,Danick Bouchard,RW,SHA,20.616,68,54,15,27,69,96,340,15.88,0.79,0.22,0.4,1.01,1.41,5.0
14,Felix Petit,C,QUE,18.051,68,29,33,31,62,93,166,17.47,0.43,0.49,0.46,0.91,1.37,2.44
15,Alexandre Picard-Hooper,C,BAC,19.31,67,32,44,17,76,93,222,14.41,0.48,0.66,0.25,1.13,1.39,3.31
16,Brett Morrison,C,GAT/PEI,19.143,64,35,35,20,70,90,177,19.77,0.55,0.55,0.31,1.09,1.41,2.77
17,Paul Alexander McIlveen,RW,CAP,20.48,68,37,29,23,66,89,261,14.18,0.54,0.43,0.34,0.97,1.31,3.84
18,Mathieu Roy,LW,VDO,19.836,63,42,31,14,73,87,293,14.33,0.67,0.49,0.22,1.16,1.38,4.65
19,Jonathan Duchesneau,C,BAT/DRU,19.716,69,29,34,24,63,87,229,12.66,0.42,0.49,0.35,0.91,1.26,3.32
20,Jakub Voracek,RW,HAL,17.085,59,23,28,35,51,86,197,11.68,0.39,0.47,0.59,0.86,1.46,3.34
21,Dean Ouellet,C,CAP,19.113,70,40,32,13,72,85,219,18.26,0.57,0.46,0.19,1.03,1.21,3.13
22,David Perron,C,LEW,18.3,70,39,31,13,70,83,170,22.94,0.56,0.44,0.19,1.0,1.19,2.43
23,Martin Bartos,D,BAT,18.286,62,24,31,26,55,81,185,12.97,0.39,0.5,0.42,0.89,1.31,2.98
24,Geoff Walker,RW,PEI,18.768,65,30,33,17,63,80,254,11.81,0.46,0.51,0.26,0.97,1.23,3.91
