,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Saint John Sea Dogs,68,53,66.18,319,163,156,57.67,2493,1830,663,12.55,0.911,103.69
1,Quebec Remparts,68,46,59.91,275,184,91,56.06,2215,1736,479,12.06,0.897,101.72
2,Montreal Juniors,68,41,58.9,258,180,78,56.53,2315,1780,535,10.8,0.899,100.74
3,Gatineau Olympiques,68,41,56.18,241,188,53,53.19,1903,1675,228,12.39,0.889,101.27
4,Drummondville Voltigeurs,68,40,57.88,246,179,67,56.1,2217,1735,482,10.9,0.898,100.68
5,Lewiston MAINEiacs,68,38,54.45,263,220,43,52.94,2204,1959,245,11.89,0.891,101.03
6,Acadie-Bathurst Titan,68,37,56.44,254,196,58,48.24,1988,2133,-145,12.34,0.909,103.27
7,Shawinigan Cataractes,68,37,54.93,245,201,44,50.18,2107,2092,15,11.38,0.907,102.03
8,Moncton Wildcats,68,30,47.91,229,249,-20,47.39,2022,2245,-223,11.02,0.893,100.28
9,PEI Rocket,68,30,50.0,214,214,0,47.0,2037,2297,-260,10.11,0.911,101.19
10,Victoriaville Tigres,68,29,51.33,250,237,13,50.69,2107,2050,57,11.4,0.89,100.36
11,Rimouski Oceanic,68,28,48.9,223,233,-10,48.38,1924,2053,-129,11.36,0.888,100.14
12,Chicoutimi Sagueneens,68,24,47.67,194,213,-19,46.3,1827,2119,-292,10.37,0.9,100.36
13,Val-d'Or Foreurs,68,19,43.82,202,259,-57,46.06,1735,2032,-297,11.59,0.878,99.36
14,Halifax Mooseheads,68,17,41.4,183,259,-76,50.62,2026,1976,50,8.85,0.874,96.23
15,Cape Breton Screaming Eagles,68,15,35.7,151,272,-121,45.66,1720,2047,-327,8.57,0.87,95.53
16,Baie-Comeau Drakkar,68,11,36.41,150,262,-112,43.31,1613,2111,-498,9.07,0.88,97.04
17,Rouyn-Noranda Huskies,68,10,30.66,149,337,-188,42.8,1732,2315,-583,8.5,0.856,94.09
