,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Yanni Gourde,LW,VIC,19.751,68,37,51,36,88,124,186,19.89,0.54,0.75,0.53,1.29,1.82,2.74,229,489,46.83
1,Zach O'Brien,C,BAT,19.212,63,50,36,15,86,101,260,19.23,0.79,0.57,0.24,1.37,1.6,4.13,450,868,51.84
2,Sebastien Trudeau,RW,BAT,20.146,67,31,37,27,68,95,212,14.62,0.46,0.55,0.4,1.01,1.42,3.16,11,28,39.29
3,Alex Belzile,RW,RIM,20.041,63,22,39,31,61,92,178,12.36,0.35,0.62,0.49,0.97,1.46,2.83,311,605,51.4
4,Frederick Roy,RW,QUE,20.551,64,27,36,29,63,92,131,20.61,0.42,0.56,0.45,0.98,1.44,2.05,117,260,45.0
5,Danick Gauthier,C,SNB,19.894,66,47,24,15,71,86,238,19.75,0.71,0.36,0.23,1.08,1.3,3.61,574,1199,47.87
6,Brandon Hynes,RW,VIC,19.001,61,42,23,21,65,86,297,14.14,0.69,0.38,0.34,1.07,1.41,4.87,3,7,42.86
7,Mikhail Grigorenko,C,QUE,17.334,59,40,24,21,64,85,196,20.41,0.68,0.41,0.36,1.08,1.44,3.32,572,1131,50.57
8,Jonathan Brunelle,C,CAP,19.946,68,30,29,26,59,85,250,12.0,0.44,0.43,0.38,0.87,1.25,3.68,673,1366,49.27
9,Alex Saulnier,C,MON,19.039,58,31,27,25,58,83,143,21.68,0.53,0.47,0.43,1.0,1.43,2.47,728,1352,53.85
10,Matthew Bissonnette,LW,BAT,19.664,65,36,24,23,60,83,231,15.58,0.55,0.37,0.35,0.92,1.28,3.55,202,392,51.53
11,Ben Duffy,C,PEI,19.535,68,34,33,15,67,82,199,17.09,0.5,0.49,0.22,0.99,1.21,2.93,576,1133,50.84
12,Alexandre Mallet,C,RIM,19.316,68,34,27,20,61,81,162,20.99,0.5,0.4,0.29,0.9,1.19,2.38,511,985,51.88
13,Zack Phillips,C,SNB,18.881,60,30,35,15,65,80,223,13.45,0.5,0.58,0.25,1.08,1.33,3.72,516,1037,49.76
14,Philippe Halley,LW,VIC,19.269,66,43,25,11,68,79,181,23.76,0.65,0.38,0.17,1.03,1.2,2.74,115,256,44.92
15,Allain Saulnier,RW,MON,19.039,66,30,25,24,55,79,223,13.45,0.45,0.38,0.36,0.83,1.2,3.38,169,380,44.47
16,Nathan MacKinnon,C,HAL,16.039,58,31,21,26,52,78,209,14.83,0.53,0.36,0.45,0.9,1.34,3.6,459,1004,45.72
17,Philippe Maillet,C,VIC,18.853,62,33,29,14,62,76,231,14.29,0.53,0.47,0.23,1.0,1.23,3.73,485,1007,48.16
18,Anton Zlobin,LW,SHA,18.56,66,40,17,19,57,76,195,20.51,0.61,0.26,0.29,0.86,1.15,2.95,0,0,0.0
19,Guillaume Asselin,RW,CHI,19.015,68,33,23,19,56,75,142,23.24,0.49,0.34,0.28,0.82,1.1,2.09,7,15,46.67
20,Jess Tanguy,C,BLB,19.439,63,22,28,25,50,75,223,9.87,0.35,0.44,0.4,0.79,1.19,3.54,498,1011,49.26
21,Sven Andrighetto,RW,ROU,18.486,62,36,26,12,62,74,239,15.06,0.58,0.42,0.19,1.0,1.19,3.85,138,278,49.64
22,Jerome Gauthier-Leduc,D,RIM,19.127,62,28,30,16,58,74,262,10.69,0.45,0.48,0.26,0.94,1.19,4.23,1,1,100.0
23,Jonathan Huberdeau,LW,SNB,18.281,37,30,29,13,59,72,123,24.39,0.81,0.78,0.35,1.59,1.95,3.32,45,85,52.94
24,Yannick Dube,RW,VIC,19.039,68,36,22,14,58,72,210,17.14,0.53,0.32,0.21,0.85,1.06,3.09,16,39,41.03
25,Marc-Olivier Brouillard,RW,DRU,18.582,65,27,30,15,57,72,227,11.89,0.42,0.46,0.23,0.88,1.11,3.49,42,75,56.0
26,Andre Bouvet-Morrissette,RW,DRU,20.137,63,39,16,17,55,72,231,16.88,0.62,0.25,0.27,0.87,1.14,3.67,283,481,58.84
27,Phillip Danault,C,VIC,18.555,62,18,29,24,47,71,167,10.78,0.29,0.47,0.39,0.76,1.15,2.69,830,1625,51.08
28,William Carrier,LW,CAP,16.737,66,27,23,20,50,70,198,13.64,0.41,0.35,0.3,0.76,1.06,3.0,14,25,56.0
29,Michael Beaudry,C,VDO,19.39,68,20,29,21,49,70,176,11.36,0.29,0.43,0.31,0.72,1.03,2.59,724,1413,51.24
30,Marek Hrivik,LW,MON,20.05,54,29,29,12,58,70,238,12.18,0.54,0.54,0.22,1.07,1.3,4.41,67,160,41.88
31,Benjamin Casavant,LW,VDO,20.649,57,34,20,15,54,69,164,20.73,0.6,0.35,0.26,0.95,1.21,2.88,29,60,48.33
32,Tomas Jurco,RW,SNB,18.714,48,30,21,17,51,68,186,16.13,0.62,0.44,0.35,1.06,1.42,3.88,8,16,50.0
33,Christian Ouellet,RW,GAT/CHI,20.05,68,25,20,23,45,68,160,15.62,0.37,0.29,0.34,0.66,1.0,2.35,121,305,39.67
34,Anthony Duclair,LW,QUE,16.055,63,31,23,12,54,66,126,24.6,0.49,0.37,0.19,0.86,1.05,2.0,0,0,0.0
35,Charles Hudon,LW,CHI,17.23,59,25,25,16,50,66,199,12.56,0.42,0.42,0.27,0.85,1.12,3.37,33,62,53.23
36,Stefan Fournier,RW,VIC,19.376,64,32,19,14,51,65,180,17.78,0.5,0.3,0.22,0.8,1.02,2.81,53,116,45.69
37,Jean-Gabriel Pageau,C,GAT/CHI,18.842,46,32,18,15,50,65,196,16.33,0.7,0.39,0.33,1.09,1.41,4.26,625,1131,55.26
38,Alexandre Grenier,RW,HAL,20.028,64,25,28,11,53,64,139,17.99,0.39,0.44,0.17,0.83,1.0,2.17,31,74,41.89
39,Tomas Hyka,RW,GAT,18.481,50,20,23,21,43,64,137,14.6,0.4,0.46,0.42,0.86,1.28,2.74,16,51,31.37
40,Michael Chaput,C,SHA,19.434,57,21,24,18,45,63,177,11.86,0.37,0.42,0.32,0.79,1.11,3.11,777,1254,61.96
41,Mathieu Gagnon,D,GAT/CHI,18.867,68,14,31,17,45,62,163,8.59,0.21,0.46,0.25,0.66,0.91,2.4,0,0,0.0
42,David Rose,RW,BAC/CAP,20.088,67,17,28,17,45,62,217,7.83,0.25,0.42,0.25,0.67,0.93,3.24,72,159,45.28
43,Carl Gelinas,C,BAC,19.606,63,25,24,12,49,61,190,13.16,0.4,0.38,0.19,0.78,0.97,3.02,65,146,44.52
44,Matej Beran,RW,PEI,17.843,68,22,27,12,49,61,152,14.47,0.32,0.4,0.18,0.72,0.9,2.24,88,183,48.09
45,Xavier Ouellet,D,BLB,18.13,63,21,20,19,41,60,202,10.4,0.33,0.32,0.3,0.65,0.95,3.21,1,2,50.0
46,Alexandre Comtois,RW,QUE,19.387,68,20,23,16,43,59,144,13.89,0.29,0.34,0.24,0.63,0.87,2.12,68,131,51.91
47,Yannick Veilleux,RW,SHA,18.56,59,27,14,17,41,58,186,14.52,0.46,0.24,0.29,0.69,0.98,3.15,2,6,33.33
48,Mathieu Brisebois,D,ROU,19.412,68,17,23,16,40,56,142,11.97,0.25,0.34,0.24,0.59,0.82,2.09,3,4,75.0
49,Michael Bournival,C,SHA,19.291,41,30,14,12,44,56,169,17.75,0.73,0.34,0.29,1.07,1.37,4.12,367,659,55.69
50,Peter Trainor,LW,RIM,18.289,68,29,12,15,41,56,137,21.17,0.43,0.18,0.22,0.6,0.82,2.01,8,19,42.11
51,Matthew Boudreau,C,HAL,18.519,67,26,14,16,40,56,130,20.0,0.39,0.21,0.24,0.6,0.84,1.94,272,657,41.4
52,Denis Kamaev,RW,ROU,17.528,67,21,20,14,41,55,158,13.29,0.31,0.3,0.21,0.61,0.82,2.36,5,15,33.33
53,Christopher Clapperton,LW,BLB,17.561,56,18,18,19,36,55,106,16.98,0.32,0.32,0.34,0.64,0.98,1.89,5,32,15.62
54,Darcy Ashley,RW,HAL,18.568,62,23,19,13,42,55,155,14.84,0.37,0.31,0.21,0.68,0.89,2.5,50,105,47.62
55,Adam Erne,LW,QUE,16.406,64,28,16,11,44,55,211,13.27,0.44,0.25,0.17,0.69,0.86,3.3,5,12,41.67
56,Kirill Kabanov,RW,SHA,19.165,50,21,21,13,42,55,144,14.58,0.42,0.42,0.26,0.84,1.1,2.88,10,28,35.71
57,Peter Sakaris,RW,SHA,19.05,62,22,19,13,41,54,155,14.19,0.35,0.31,0.21,0.66,0.87,2.5,8,19,42.11
58,Tomas Filippi,RW,BAC,19.365,60,19,21,13,40,53,187,10.16,0.32,0.35,0.22,0.67,0.88,3.12,365,734,49.73
