,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Conor Garland,RW,MON,18.514,67,35,63,31,98,129,263,13.31,0.52,0.94,0.46,1.46,1.93,3.93,36.42,0.54,1477.09,22.05,1.42,2.56,1.26,3.98,5.24,10.68,1.48,19.66,18.2,57.28,47.97,25.02,69.09,152,68,10,39,25.64,11,61,18.03,14,163,8.59,17,34,50.0
1,Danick Martel,C,BLB,19.759,64,48,36,18,84,102,274,17.52,0.75,0.56,0.28,1.31,1.59,4.28,38.4,0.6,1476.47,23.07,1.95,1.46,0.73,3.41,4.15,11.13,1.56,20.33,18.63,63.45,50.64,28.6,72.16,127,49,11,36,30.56,8,58,13.79,29,180,16.11,388,832,46.63
2,Nikolaj Ehlers,LW,HAL,18.585,51,37,43,21,80,101,248,14.92,0.73,0.84,0.41,1.57,1.98,4.86,35.59,0.7,1269.66,24.9,1.75,2.03,0.99,3.78,4.77,11.72,1.68,19.19,18.63,55.19,50.66,35.26,66.67,120,60,9,25,36.0,10,43,23.26,18,180,10.0,64,161,39.75
3,Nikita Jevpalovs,LW,BLB,20.017,64,49,26,25,75,100,212,23.11,0.77,0.41,0.39,1.17,1.56,3.31,30.47,0.48,1399.06,21.86,2.1,1.12,1.07,3.22,4.29,9.09,1.31,20.8,18.68,63.71,50.48,32.31,75.58,130,42,8,18,44.44,9,30,30.0,32,164,19.51,378,686,55.1
4,Angelo Miceli,C,VIC,20.543,64,38,39,19,77,96,221,17.19,0.59,0.61,0.3,1.2,1.5,3.45,35.26,0.55,1365.59,21.34,1.67,1.71,0.83,3.38,4.22,9.71,1.55,18.97,18.55,52.66,50.58,22.31,60.89,123,79,8,26,30.77,11,37,29.73,19,158,12.03,756,1432,52.79
5,Alexis Loiseau,C,RIM,20.677,68,35,37,24,72,96,189,18.52,0.51,0.54,0.35,1.06,1.41,2.78,26.45,0.39,1430.95,21.04,1.47,1.55,1.01,3.02,4.03,7.92,1.11,18.79,18.24,61.1,50.69,12.61,64.42,134,74,8,32,25.0,10,39,25.64,17,118,14.41,823,1558,52.82
6,Ivan Barbashev,C,MON,18.755,57,45,25,25,70,95,222,20.27,0.79,0.44,0.44,1.23,1.67,3.89,36.78,0.65,1268.63,22.26,2.13,1.18,1.18,3.31,4.49,10.5,1.74,20.1,18.42,58.39,48.88,24.2,68.06,130,61,11,40,27.5,9,32,28.12,25,150,16.67,580,1134,51.15
7,Anthony Beauvillier,C,SHA,17.271,67,42,38,14,80,94,337,12.46,0.63,0.57,0.21,1.19,1.4,5.03,40.23,0.6,1436.97,21.45,1.75,1.59,0.58,3.34,3.92,14.07,1.68,18.27,18.72,60.08,49.89,18.67,66.48,117,59,9,27,33.33,10,47,21.28,23,263,8.75,922,1571,58.69
8,Anthony DeLuca,LW,RIM,19.592,68,44,32,15,76,91,321,13.71,0.65,0.47,0.22,1.12,1.34,4.72,39.86,0.59,1393.6,20.49,1.89,1.38,0.65,3.27,3.92,13.82,1.72,18.85,18.07,59.77,49.37,20.87,70.52,122,51,7,36,19.44,11,47,23.4,26,238,10.92,17,37,45.95
9,Anthony Richard,C,VDO,17.736,66,43,31,17,74,91,289,14.88,0.65,0.47,0.26,1.12,1.38,4.38,35.17,0.53,1418.68,21.5,1.82,1.31,0.72,3.13,3.85,12.22,1.49,19.08,18.39,54.25,51.25,6.9,55.71,117,93,11,41,26.83,11,38,28.95,21,210,10.0,61,133,45.86
