,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Conor Garland,RW,MON,19.014,129,74,122,61,196,257,604,12.375,0.575,0.945,0.47,1.52,1.995,4.715,39.465,0.615,1475.805,22.915,1.505,2.48,1.24,3.985,5.225,12.28,1.605,19.045,18.25,55.79,48.55,28.045,68.415,299,138,14,72,18.88,21,109,19.43,39,423,9.105,30,66,45.31
1,Francis Perron,LW,ROU,18.91,126,70,76,38,146,184,503,13.865,0.555,0.605,0.3,1.165,1.465,3.995,27.89,0.445,1307.09,20.755,1.605,1.74,0.87,3.34,4.215,11.54,1.275,18.815,18.635,58.205,52.26,11.205,63.335,227,130,12,40,30.2,21,66,32.025,37,397,9.35,131,303,42.465
2,Anthony Beauregard,C,VDO,19.334,135,59,81,40,140,180,306,20.095,0.44,0.6,0.295,1.035,1.335,2.27,22.8,0.34,1247.6,18.49,1.415,1.945,0.96,3.365,4.33,7.335,1.095,19.525,18.26,58.4,50.925,15.68,65.6,240,126,18,43,42.1,16,60,27.01,25,203,12.355,1580,2765,57.19
3,Anthony Richard,C,VDO,18.236,124,80,66,32,146,178,523,15.345,0.645,0.535,0.26,1.18,1.44,4.205,32.26,0.52,1336.475,21.565,1.795,1.49,0.72,3.285,4.005,11.705,1.445,19.04,18.49,57.985,52.075,6.54,59.205,233,162,18,64,28.63,22,76,28.95,40,383,10.49,136,320,42.985
4,Timo Meier,RW,HAL/ROU,18.435,113,78,59,40,137,177,622,12.515,0.685,0.53,0.355,1.22,1.575,5.53,43.355,0.77,1267.665,22.445,1.84,1.425,0.945,3.26,4.205,14.79,2.06,19.885,18.645,57.015,50.385,32.125,71.51,230,92,21,73,28.9,21,99,21.39,36,450,8.02,134,281,48.195
5,Dmytro Timashov,LW,QUE/SHA,18.455,123,41,78,56,119,175,272,15.065,0.34,0.64,0.455,0.98,1.425,2.23,14.145,0.235,1146.315,18.65,1.085,2.055,1.455,3.14,4.59,7.175,0.745,20.275,18.205,56.96,49.985,23.66,68.47,220,102,9,28,38.635,10,34,29.41,22,210,10.76,7,14,52.085
6,Anthony Beauvillier,C,SHA,17.77,114,82,58,33,140,173,575,14.635,0.74,0.5,0.305,1.235,1.54,5.045,38.89,0.7,1258.055,22.205,1.985,1.35,0.82,3.34,4.155,13.65,1.885,18.975,18.59,60.315,49.955,21.255,67.225,221,108,18,59,30.725,23,86,27.305,41,430,9.765,1538,2635,58.29
7,Samuel Blais,LW,VIC/CHA,18.745,124,67,57,40,124,164,374,18.11,0.54,0.46,0.32,1.0,1.32,3.01,29.24,0.47,1210.935,19.525,1.665,1.415,0.99,3.075,4.07,9.245,1.44,18.895,18.375,52.365,49.535,21.915,64.125,220,123,17,59,29.235,16,78,20.695,34,237,14.82,13,41,34.875
8,Nicolas Aube-Kubel,RW,VDO,18.849,122,76,54,34,130,164,428,17.775,0.62,0.445,0.28,1.065,1.345,3.505,26.98,0.44,1205.89,19.765,1.895,1.34,0.845,3.235,4.075,10.65,1.34,19.175,18.27,58.25,50.71,14.8,65.805,225,117,13,45,28.57,21,62,32.275,42,321,13.015,47,155,32.42
9,Evgeny Svechnikov,RW,CAP,18.373,105,64,46,47,110,157,356,17.995,0.61,0.44,0.45,1.05,1.5,3.395,28.09,0.54,1010.39,19.25,1.905,1.37,1.395,3.275,4.67,10.58,1.68,19.245,18.275,56.275,49.58,24.975,70.565,199,83,19,57,33.895,17,57,29.625,28,242,11.62,372,741,48.775
10,Alexis D'Aoust,RW,SHA,18.95,131,68,57,30,125,155,494,13.465,0.515,0.43,0.23,0.945,1.17,3.75,35.98,0.545,1331.48,20.265,1.5,1.245,0.685,2.745,3.43,11.06,1.605,18.84,18.155,59.5,48.695,24.86,69.595,245,106,24,101,23.475,13,86,13.95,31,307,9.98,24,71,33.575
11,Maxim Lazarev,LW,CAP,19.129,117,66,45,44,111,155,359,18.57,0.565,0.395,0.375,0.96,1.335,3.125,29.155,0.51,1142.305,19.52,1.74,1.21,1.16,2.95,4.11,9.625,1.575,19.195,18.28,56.615,50.315,16.675,64.785,212,117,8,41,19.405,17,65,26.28,41,253,16.305,26,49,54.915
12,Pierre-Luc Dubois,LW,CAP,16.728,116,52,60,32,112,144,342,13.615,0.435,0.51,0.275,0.94,1.215,2.885,27.86,0.47,1089.825,18.66,1.32,1.605,0.9,2.925,3.825,9.065,1.47,19.205,18.335,56.035,50.31,13.42,62.735,201,112,15,79,16.035,12,52,20.14,25,211,11.12,496,1016,45.73
13,Guillaume Gauthier,LW,QUE/SHE,19.509,133,65,46,31,111,142,406,16.23,0.49,0.345,0.235,0.83,1.065,3.05,28.23,0.425,1226.925,18.435,1.58,1.09,0.765,2.67,3.43,9.8,1.345,19.9,17.945,54.575,49.705,23.915,65.88,195,101,24,70,33.62,11,58,19.21,30,278,11.25,234,458,48.58
14,Nicolas Roy,C,CHI/SHE,17.513,133,64,46,30,110,140,413,9.727,0.333,0.233,0.153,0.567,0.723,2.607,22.267,0.367,867.437,16.71,0.953,0.71,0.467,1.663,2.13,9.123,1.137,19.173,19.017,50.36,54.19,8.513,43.163,198,105,31,104,17.967,16,83,13.203,17,226,4.777,1583,2774,52.443
15,Danny Moynihan,C,HAL/SHA,19.27,129,69,50,21,119,140,401,17.285,0.535,0.385,0.165,0.92,1.085,3.105,32.615,0.5,1260.87,19.525,1.645,1.19,0.515,2.83,3.35,9.525,1.545,19.38,18.41,53.125,49.97,23.07,63.95,201,115,18,70,25.415,17,91,18.535,34,240,14.375,1472,2526,58.4
16,Alex Barre-Boulet,C,DRU,17.82,133,58,56,26,114,140,343,16.78,0.44,0.42,0.2,0.86,1.06,2.59,26.25,0.395,1311.555,19.78,1.315,1.255,0.58,2.57,3.15,7.795,1.19,19.055,18.175,49.085,51.65,30.03,60.385,200,129,10,49,21.955,20,78,25.385,28,216,12.695,1303,2610,49.615
17,Jean-Christophe Beaudin,C,ROU,17.97,126,47,47,41,94,135,305,14.755,0.39,0.375,0.335,0.76,1.095,2.475,17.84,0.295,1096.165,17.545,1.275,1.285,1.115,2.56,3.675,8.305,0.965,19.24,18.3,58.08,51.84,15.135,67.57,192,92,9,31,29.285,10,49,20.235,28,225,11.655,615,1201,46.82
18,Daniel Sprong,RW,CHA,17.998,101,55,55,24,110,134,415,12.735,0.525,0.545,0.27,1.075,1.34,4.18,25.94,0.515,1060.34,21.1,1.505,1.55,0.765,3.055,3.82,11.885,1.46,18.715,18.53,52.855,49.44,15.99,60.875,169,110,13,45,29.0,17,69,23.525,25,301,7.7,28,63,39.445
19,Dennis Yan,LW,SHA,17.921,121,65,35,33,100,133,390,16.67,0.54,0.29,0.275,0.83,1.095,3.225,27.285,0.45,1080.705,17.865,1.805,0.97,0.915,2.775,3.69,10.84,1.515,19.295,18.39,59.8,48.765,27.955,73.055,187,70,17,52,31.56,21,69,31.27,27,269,9.96,15,34,41.785
20,Michael Joly,RW,RIM/CAP,19.865,105,73,41,19,114,133,384,18.78,0.68,0.38,0.17,1.06,1.235,3.605,34.2,0.645,1049.59,19.725,2.06,1.15,0.51,3.205,3.715,10.96,1.97,19.385,18.57,58.89,51.47,15.655,67.12,181,89,23,72,31.795,18,78,24.64,32,234,12.515,50,106,44.69
