,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,204,132,59.525,809,531,278,53.508,6683,5640,1043,11.335,0.91,102.342,55.79,242.85,192.302,50.548,10.997,0.9,100.995,7.652,0.101,20.303,0.304,201,158,43,56.265,694,619,75,52.32,27.472,0.759,209,127,82,61.115,893,679,214,55.68,22.412,0.819,399,246,153,60.645,5096,4342,754,53.31,7.255,0.946
1,Blainville-Boisbriand Armada,204,112,55.74,664,549,115,53.06,5826,5253,573,11.328,0.899,101.182,52.618,201.285,180.57,20.715,10.222,0.897,99.84,22.716,0.33,4.318,0.074,151,149,2,51.085,624,543,81,54.828,23.693,0.718,129,136,-7,50.278,698,755,-57,49.128,18.32,0.822,384,264,120,60.235,4504,3955,549,53.47,8.435,0.938
2,Charlottetown Islanders,204,109,51.13,730,663,67,51.862,6950,6477,473,9.745,0.901,99.82,51.972,247.418,228.752,18.665,10.785,0.892,100.045,-22.919,-0.313,17.753,0.246,211,208,3,50.53,865,813,52,52.738,23.28,0.744,182,131,51,56.96,997,820,177,55.317,16.872,0.845,337,324,13,48.61,5088,4844,244,51.058,5.955,0.936
3,Victoriaville Tigres,204,106,54.045,742,667,75,49.64,6053,6207,-154,12.105,0.9,102.053,51.048,219.932,210.898,9.035,10.767,0.898,100.56,27.068,0.4,3.396,0.046,170,194,-24,48.265,627,729,-102,47.625,26.682,0.736,171,143,28,56.21,738,738,0,50.412,22.635,0.818,401,330,71,55.942,4688,4740,-52,49.845,8.528,0.936
4,Acadie-Bathurst Titan,204,106,55.172,775,672,103,53.57,6937,6261,676,10.838,0.897,100.558,53.282,268.818,236.138,32.683,11.52,0.884,99.885,-15.818,-0.205,26.634,0.406,242,215,27,54.82,917,919,-2,50.808,25.92,0.777,171,140,31,56.293,932,741,191,56.073,18.445,0.82,362,317,45,54.888,5088,4601,487,53.655,6.758,0.934
5,Cape Breton Screaming Eagles,204,105,50.98,787,721,66,52.215,6623,6043,580,11.165,0.883,99.432,52.713,269.668,241.342,28.332,12.305,0.88,100.265,-24.919,-0.341,6.341,0.094,211,209,2,48.565,937,817,120,52.438,21.425,0.75,169,186,-17,45.44,875,814,61,51.23,18.128,0.77,407,326,81,54.985,4811,4412,399,52.36,7.932,0.929
6,Gatineau Olympiques,204,104,51.728,690,636,54,49.555,5995,5936,59,10.99,0.898,100.738,48.712,220.425,227.958,-7.525,11.208,0.885,99.7,-6.178,-0.066,23.204,0.377,179,207,-28,43.495,691,780,-89,42.278,28.96,0.733,158,125,33,59.1,871,820,51,50.742,17.755,0.867,353,304,49,53.94,4433,4336,97,50.288,7.455,0.934
7,Saint John Sea Dogs,204,97,47.442,719,700,19,48.392,6560,6486,74,10.355,0.894,99.722,45.368,223.965,273.088,-49.122,10.542,0.88,98.582,-3.715,-0.056,30.088,0.399,191,196,-5,44.58,813,948,-135,42.888,22.148,0.796,173,137,36,53.372,831,783,48,49.552,20.42,0.825,355,367,-12,46.258,4916,4755,161,49.183,6.802,0.924
8,Rimouski Oceanic,204,97,53.012,660,626,34,52.79,6404,5918,486,9.945,0.9,99.882,50.205,209.995,208.765,1.225,9.758,0.892,98.947,4.257,0.058,13.517,0.222,137,172,-35,47.142,654,787,-133,47.735,20.202,0.786,159,143,16,54.958,785,698,87,53.388,20.328,0.808,364,311,53,54.8,4965,4433,532,53.498,6.955,0.933
9,Shawinigan Cataractes,204,94,47.55,714,698,16,48.565,6219,6220,-1,10.638,0.888,99.44,48.748,217.32,227.638,-10.318,10.748,0.894,100.108,-1.822,-0.033,-13.364,-0.165,195,187,8,47.33,750,681,69,49.588,24.627,0.729,161,163,-2,47.105,811,765,46,49.85,19.06,0.786,358,348,10,47.905,4658,4774,-116,48.212,6.99,0.928
10,Drummondville Voltigeurs,204,93,51.005,674,715,-41,52.725,6256,5911,345,10.768,0.886,99.33,51.705,222.058,207.555,14.5,10.402,0.891,99.548,8.944,0.11,-11.944,-0.176,177,194,-17,49.317,721,711,10,51.27,24.9,0.736,175,161,14,54.567,827,832,-5,51.54,21.245,0.813,322,360,-38,50.062,4708,4368,340,53.13,6.75,0.924
11,Val-d'Or Foreurs,204,92,43.875,671,765,-94,42.89,5712,7093,-1381,10.922,0.895,100.362,43.69,193.24,247.728,-54.492,10.44,0.9,100.357,9.764,0.145,-12.774,-0.144,202,174,28,50.86,685,702,-17,47.102,28.285,0.758,156,206,-50,40.993,710,930,-220,41.825,21.502,0.778,313,385,-72,41.63,4317,5461,-1144,42.47,6.448,0.932
12,Quebec Remparts,204,91,48.535,611,690,-79,49.605,5954,6400,-446,9.962,0.896,99.648,52.642,202.413,182.55,19.858,10.018,0.911,101.152,-1.412,-0.016,-28.95,-0.436,169,143,26,57.01,689,572,117,56.222,24.062,0.77,145,128,17,55.445,749,621,128,57.298,19.31,0.791,297,419,-122,42.322,4516,5207,-691,47.638,6.205,0.922
13,Halifax Mooseheads,204,87,49.382,688,754,-66,49.48,6288,6597,-309,10.785,0.89,99.805,50.775,259.755,251.51,8.242,12.205,0.885,100.635,-29.754,-0.426,12.759,0.177,216,206,10,52.612,895,826,69,53.242,23.602,0.753,158,187,-29,46.957,813,934,-121,47.528,18.553,0.81,314,361,-47,48.258,4580,4837,-257,49.16,6.882,0.929
