,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,59,47,69.23,270,120,150,60.2,2385,1577,808,10.91,0.926,103.54,66.22,211.48,107.89,103.59,8.91,0.931,102.05,47.52,0.601,-8.108,-0.155,100,38,62,72.46,339,181,158,65.19,28.87,0.799,88,31,57,73.95,338,135,203,71.46,25.82,0.776,82,51,31,61.65,1708,1261,447,57.53,4.41,0.96
1,Drummondville Voltigeurs,58,43,66.15,301,154,147,61.78,2223,1375,848,13.11,0.891,102.23,61.0,192.92,123.35,69.58,8.72,0.91,99.72,97.076,1.317,-25.652,-0.562,86,44,42,66.15,300,212,88,58.59,28.19,0.792,82,48,34,63.08,353,209,144,62.81,23.23,0.774,133,62,71,68.21,1570,954,616,62.2,7.94,0.939
2,Halifax Mooseheads,58,42,65.66,262,137,125,54.77,1986,1640,346,12.93,0.919,104.86,56.09,182.05,142.52,39.53,9.19,0.913,100.48,73.953,1.121,10.516,0.193,78,47,31,62.4,319,248,71,56.26,23.97,0.814,76,33,43,69.72,299,203,96,59.56,25.17,0.842,108,57,51,65.45,1368,1189,179,53.5,7.69,0.954
3,Rimouski Oceanic,59,38,62.34,240,145,95,55.61,1923,1535,388,11.88,0.908,102.68,54.49,165.43,138.15,27.27,8.66,0.91,99.64,61.572,0.967,-2.845,-0.056,80,50,30,61.54,285,223,62,56.1,27.82,0.786,55,27,28,67.07,257,193,64,57.11,20.78,0.86,105,68,37,60.69,1381,1119,262,55.24,6.93,0.94
4,Baie-Comeau Drakkar,58,38,61.65,262,163,99,57.18,2063,1545,518,12.45,0.899,102.3,59.99,174.08,116.1,57.98,8.46,0.925,100.91,81.917,1.195,-39.896,-0.778,81,62,19,56.64,279,206,73,57.53,28.0,0.702,73,32,41,69.52,307,162,145,65.46,23.78,0.807,108,69,39,61.02,1477,1177,300,55.65,7.19,0.945
5,Sherbrooke Phoenix,59,33,51.49,225,212,13,53.87,2059,1763,296,10.19,0.883,98.51,51.21,177.37,169.02,8.35,8.69,0.904,99.06,30.631,0.45,-35.982,-0.615,63,74,-11,45.99,244,267,-23,47.75,25.82,0.728,43,32,11,57.33,328,293,35,52.82,12.84,0.891,119,106,13,52.89,1487,1203,284,55.28,7.0,0.916
6,Cape Breton Screaming Eagles,59,30,55.28,220,178,42,56.19,1971,1537,434,10.94,0.892,100.11,56.19,175.45,136.77,38.68,8.92,0.91,99.95,39.547,0.603,-28.23,-0.556,59,56,3,51.3,281,256,25,52.33,20.71,0.791,59,40,19,59.6,265,196,69,57.48,21.97,0.8,102,82,20,55.43,1425,1085,340,56.77,6.96,0.932
7,Chicoutimi Sagueneens,58,29,51.16,177,169,8,48.13,1626,1752,-126,10.5,0.904,100.91,49.6,137.04,139.23,-2.19,8.46,0.92,100.51,32.963,0.611,-28.774,-0.493,72,38,34,65.45,260,176,84,59.63,27.41,0.784,32,55,-23,36.78,191,266,-75,41.79,16.75,0.793,73,76,-3,48.99,1175,1310,-135,47.28,5.73,0.943
8,Moncton Wildcats,59,29,54.29,228,192,36,51.94,1990,1841,149,11.01,0.897,100.73,54.03,197.96,168.42,29.54,10.0,0.908,100.83,20.039,0.304,-20.58,-0.336,78,65,13,54.55,332,265,67,55.61,23.03,0.755,50,56,-6,47.17,269,260,9,50.85,18.59,0.785,100,71,29,58.48,1389,1316,73,51.35,6.66,0.948
9,Charlottetown Islanders,58,28,51.96,199,184,15,54.16,2032,1720,312,9.57,0.896,99.19,52.58,187.97,169.5,18.47,9.27,0.901,99.38,6.032,0.089,-8.499,-0.149,81,75,6,51.92,354,278,76,56.01,22.66,0.733,44,42,2,51.16,308,263,45,53.94,14.01,0.844,74,67,7,52.48,1370,1179,191,53.75,5.19,0.946
