,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Dubuque Fighting Saints,424,238,51.973,1420,1170,250,54.107,13526,11204,2322,9.748,0.894,99.101
1,Waterloo Black Hawks,424,238,56.149,1507,1214,293,54.744,14579,12250,2329,9.68,0.908,100.506
2,Green Bay Gamblers,424,219,52.151,1345,1166,179,51.818,12907,12432,475,9.207,0.91,100.193
3,Omaha Lancers,424,203,51.74,1277,1199,78,50.184,12384,12407,-23,9.631,0.91,100.566
4,Youngstown Phantoms,424,198,50.843,1329,1275,54,48.668,12299,12699,-400,10.059,0.908,100.924
5,Sioux Falls Stampede,424,195,49.811,1259,1279,-20,46.671,12911,13367,-456,9.791,0.915,101.246
6,Sioux City Musketeers,424,191,48.747,1267,1229,38,50.335,13181,12927,254,8.324,0.91,99.271
7,Lincoln Stars,424,190,51.478,1272,1298,-26,51.175,13416,13012,404,9.269,0.908,100.065
8,Chicago Steel,424,188,51.954,1299,1340,-41,50.007,12881,13743,-862,10.546,0.902,100.776
9,Fargo Force,424,188,56.568,1219,1192,27,53.157,13016,13124,-108,9.398,0.918,101.224
10,Muskegon Lumberjacks,424,183,50.237,1277,1364,-87,51.741,13202,13705,-503,9.47,0.898,99.193
11,Cedar Rapids RoughRiders,424,181,45.436,1251,1311,-60,46.858,11847,13114,-1267,9.243,0.901,99.334
12,Team USA,424,175,51.614,1441,1521,-80,49.768,13063,12587,476,12.418,0.886,101.054
13,Tri-City Storm,424,165,47.753,1162,1296,-134,49.142,12859,13225,-366,8.516,0.912,99.661
14,Des Moines Buccaneers,424,145,45.481,1140,1402,-262,48.335,12538,13887,-1349,8.705,0.902,98.916
15,Indiana Ice,184,92,55.522,628,562,66,52.975,5834,5516,318,10.592,0.904,100.945
16,Madison Capitols,240,86,44.26,650,813,-163,43.694,6865,8515,-1650,9.495,0.908,100.228
17,Bloomington Thunder,180,81,48.368,490,507,-17,52.433,5629,5040,589,8.288,0.904,98.688
18,Central Illinois Flying Aces,60,12,38.5,159,254,-95,47.48,1725,1908,-183,9.01,0.871,96.15
