,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Jake Randolph,F,OMA,19.524,60,26,35,25,61,86,121,21.49,0.43,0.58,0.42,1.02,1.43,2.02
1,Kyle Connor,F,YNG,16.767,56,31,26,17,57,74,228,13.6,0.55,0.46,0.3,1.02,1.32,4.07
2,Tyler Vesel,F,OMA,19.423,49,33,21,17,54,71,168,19.64,0.67,0.43,0.35,1.1,1.45,3.43
3,Scott Conway,F,IND,18.437,57,33,23,12,56,68,222,14.86,0.58,0.4,0.21,0.98,1.19,3.89
4,Peter Krieger,F,WAT,19.768,60,26,24,17,50,67,228,11.4,0.43,0.4,0.28,0.83,1.12,3.8
5,Andrew Poturalski,F,CR,19.669,60,27,18,19,45,64,148,18.24,0.45,0.3,0.32,0.75,1.07,2.47
6,Matheson Iacopelli,F,MUS,19.338,58,41,15,7,56,63,283,14.49,0.71,0.26,0.12,0.97,1.09,4.88
7,Nick Schmaltz,F,GB,17.561,55,18,24,21,42,63,142,12.68,0.33,0.44,0.38,0.76,1.15,2.58
8,Brandon Montour,D,WAT,19.431,60,14,34,14,48,62,191,7.33,0.23,0.57,0.23,0.8,1.03,3.18
9,Liam Pecararo,F,WAT,17.443,54,20,22,19,42,61,157,12.74,0.37,0.41,0.35,0.78,1.13,2.91
10,Jared Thomas,F,SC,19.565,58,19,18,23,37,60,175,10.86,0.33,0.31,0.4,0.64,1.03,3.02
11,John Simonson,F,LIN,20.252,58,28,22,9,50,59,230,12.17,0.48,0.38,0.16,0.86,1.02,3.97
12,J.J. Piccinich,F,YNG,17.26,60,27,17,14,44,58,175,15.43,0.45,0.28,0.23,0.73,0.97,2.92
13,Matthew Weis,F,GB,18.317,52,23,23,11,46,57,113,20.35,0.44,0.44,0.21,0.88,1.1,2.17
14,Brian Pinho,F,IND,18.349,59,28,12,16,40,56,162,17.28,0.47,0.2,0.27,0.68,0.95,2.75
15,Gage Hough,F,OMA,20.471,59,24,12,16,36,52,168,14.29,0.41,0.2,0.27,0.61,0.88,2.85
16,C.J. Franklin,F,SF,19.499,53,22,21,8,43,51,176,12.5,0.42,0.4,0.15,0.81,0.96,3.32
17,Blake Winiecki,F,WAT,19.68,60,24,11,15,35,50,206,11.65,0.4,0.18,0.25,0.58,0.83,3.43
18,Connor Hurley,F,GB/MUS,18.002,56,13,15,22,28,50,119,10.92,0.23,0.27,0.39,0.5,0.89,2.12
19,Tyler Sheehy,F,WAT/USA,17.821,50,21,17,11,38,49,166,12.65,0.42,0.34,0.22,0.76,0.98,3.32
20,Patrick Russell,F,WAT,20.696,55,29,12,8,41,49,198,14.65,0.53,0.22,0.15,0.75,0.89,3.6
21,Joel L'Esperance,F,SC/TC,18.078,60,27,10,11,37,48,222,12.16,0.45,0.17,0.18,0.62,0.8,3.7
22,Brandon Hawkins,F,SC,19.393,54,26,13,9,39,48,219,11.87,0.48,0.24,0.17,0.72,0.89,4.06
23,Zeb Knutson,F,SF,19.705,55,27,17,4,44,48,228,11.84,0.49,0.31,0.07,0.8,0.87,4.15
24,Christian Horn,F,SF/TC,20.263,50,23,11,13,34,47,134,17.16,0.46,0.22,0.26,0.68,0.94,2.68
25,Dennis Kravchenko,F,SF,19.464,45,13,15,18,28,46,121,10.74,0.29,0.33,0.4,0.62,1.02,2.69
26,Adam Johnson,F,SC,19.234,56,15,18,13,33,46,124,12.1,0.27,0.32,0.23,0.59,0.82,2.21
27,Seamus Malone,F,DBQ,17.361,55,23,17,6,40,46,160,14.37,0.42,0.31,0.11,0.73,0.84,2.91
28,CJ Smith,F,MUS/CHI,18.79,59,27,12,6,39,45,174,15.52,0.46,0.2,0.1,0.66,0.76,2.95
29,Jack Eichel,F,USA,16.882,24,20,17,8,37,45,95,21.05,0.83,0.71,0.33,1.54,1.88,3.96
30,Mason Jobst,F,MUS,19.576,49,10,20,15,30,45,132,7.58,0.2,0.41,0.31,0.61,0.92,2.69
31,Joe Snively,F,SC,17.706,56,14,18,13,32,45,111,12.61,0.25,0.32,0.23,0.57,0.8,1.98
32,Alexx Privitera,D,DBQ,20.658,57,11,19,14,30,44,129,8.53,0.19,0.33,0.25,0.53,0.77,2.26
33,Drew Melanson,F,WAT/OMA,18.681,59,17,13,14,30,44,128,13.28,0.29,0.22,0.24,0.51,0.75,2.17
34,Dwyer Tschantz,F,IND,18.486,52,24,14,6,38,44,90,26.67,0.46,0.27,0.12,0.73,0.85,1.73
35,Karson Kuhlman,F,DBQ,17.972,56,25,9,10,34,44,126,19.84,0.45,0.16,0.18,0.61,0.79,2.25
36,Maxim Letunov,F,YNG,17.569,60,19,15,9,34,43,125,15.2,0.32,0.25,0.15,0.57,0.72,2.08
37,Dylan Gambrell,F,DBQ,17.054,60,14,12,17,26,43,114,12.28,0.23,0.2,0.28,0.43,0.72,1.9
38,Patrick Newell,F,IND,17.66,59,13,14,16,27,43,113,11.5,0.22,0.24,0.27,0.46,0.73,1.92
39,Ryan Lough,F,GB,20.397,60,19,16,7,35,42,127,14.96,0.32,0.27,0.12,0.58,0.7,2.12
40,Keith Burchett,F,SF,18.771,57,18,19,5,37,42,84,21.43,0.32,0.33,0.09,0.65,0.74,1.47
41,Robby Jackson,F,CHI,16.066,60,28,11,3,39,42,189,14.81,0.47,0.18,0.05,0.65,0.7,3.15
42,Tony Calderone,F,SF,18.919,60,24,14,3,38,41,154,15.58,0.4,0.23,0.05,0.63,0.68,2.57
43,Tucker Poolman,D,OMA,20.271,58,15,16,10,31,41,145,10.34,0.26,0.28,0.17,0.53,0.71,2.5
44,Aidan Muir,F,IND,18.07,54,14,22,5,36,41,117,11.97,0.26,0.41,0.09,0.67,0.76,2.17
45,John Ernsting,F,CHI,18.541,60,12,16,13,28,41,119,10.08,0.2,0.27,0.22,0.47,0.68,1.98
46,Denis Smirnov,F,IND,16.093,47,15,18,8,33,41,104,14.42,0.32,0.38,0.17,0.7,0.87,2.21
47,Magnus Hoff,F,LIN,19.94,56,15,10,15,25,40,136,11.03,0.27,0.18,0.27,0.45,0.71,2.43
48,Christian Lampasso,F,LIN,19.354,57,16,11,13,27,40,131,12.21,0.28,0.19,0.23,0.47,0.7,2.3
49,Trevor Morbeck,F,MUS,19.817,56,16,12,12,28,40,117,13.68,0.29,0.21,0.21,0.5,0.71,2.09
50,Mark Friedman,D,WAT,17.725,51,10,11,19,21,40,142,7.04,0.2,0.22,0.37,0.41,0.78,2.78
51,Shane Eiserman,F,DBQ,17.933,53,16,14,10,30,40,114,14.04,0.3,0.26,0.19,0.57,0.75,2.15
52,Sonny Milano,F,USA,17.345,25,14,17,8,31,39,68,20.59,0.56,0.68,0.32,1.24,1.56,2.72
53,Griffen Molino,F,SF,19.65,59,8,12,19,20,39,116,6.9,0.14,0.2,0.32,0.34,0.66,1.97
54,Evan Tironese,F,GB,18.122,56,10,16,12,26,38,101,9.9,0.18,0.29,0.21,0.46,0.68,1.8
55,Brandon Smith,F,LIN,18.733,53,21,12,5,33,38,135,15.56,0.4,0.23,0.09,0.62,0.72,2.55
56,Dakota Joshua,F,SF,17.336,55,17,11,10,28,38,100,17.0,0.31,0.2,0.18,0.51,0.69,1.82
57,Frederik Tiffels,F,CR/MUS/FGO,18.325,56,13,14,10,27,37,137,9.49,0.23,0.25,0.18,0.48,0.66,2.45
58,Jeremy Bracco,F,USA,16.499,34,9,23,5,32,37,69,13.04,0.26,0.68,0.15,0.94,1.09,2.03
59,Garrett Cecere,D,SF/TC,18.694,54,3,21,13,24,37,73,4.11,0.06,0.39,0.24,0.44,0.69,1.35
60,Jacob Pritchard,F,IND,18.437,49,14,13,9,27,36,108,12.96,0.29,0.27,0.18,0.55,0.73,2.2
61,Danny Elser,F,DM,20.496,58,19,8,9,27,36,146,13.01,0.33,0.14,0.16,0.47,0.62,2.52
62,Chris Wilkie,F,TC,17.183,57,17,12,7,29,36,169,10.06,0.3,0.21,0.12,0.51,0.63,2.96
63,Jake Montgomery,F,SC,19.272,54,19,10,7,29,36,100,19.0,0.35,0.19,0.13,0.54,0.67,1.85
64,Zach Sanford,F,WAT,18.85,52,17,14,4,31,35,180,9.44,0.33,0.27,0.08,0.6,0.67,3.46
65,Tyler Hynes,F,OMA/FGO,19.811,59,20,10,5,30,35,151,13.25,0.34,0.17,0.08,0.51,0.59,2.56
66,Jarrid Privitera,F,DBQ,19.16,58,10,19,6,29,35,106,9.43,0.17,0.33,0.1,0.5,0.6,1.83
67,Dylan McLaughlin,F,CR,18.281,60,8,15,11,23,34,91,8.79,0.13,0.25,0.18,0.38,0.57,1.52
68,Tanner Karty,F,DM,19.061,60,13,12,9,25,34,154,8.44,0.22,0.2,0.15,0.42,0.57,2.57
69,Ryan Galt,F,DM,18.087,59,12,14,8,26,34,148,8.11,0.2,0.24,0.14,0.44,0.58,2.51
70,Luca Frigo,F,OMA,20.296,58,19,7,8,26,34,134,14.18,0.33,0.12,0.14,0.45,0.59,2.31
71,Max McHugh,F,DBQ,20.072,60,21,11,2,32,34,146,14.38,0.35,0.18,0.03,0.53,0.57,2.43
