,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Nick Abruzzese,F,CHI,19.283,43,19,23,15,42,57,76,25.0,0.44,0.53,0.35,0.98,1.33,1.77
1,Ben Meyers,F,FGO,19.833,41,27,20,6,47,53,154,17.53,0.66,0.49,0.15,1.15,1.29,3.76
2,Matias Maccelli,LW,DBQ,17.92,44,22,16,15,38,53,130,16.92,0.5,0.36,0.34,0.86,1.2,2.95
3,Hank Crone,F,FGO,20.57,44,15,21,17,36,53,116,12.93,0.34,0.48,0.39,0.82,1.2,2.64
4,Brett Murray,F,YNG,20.156,43,28,15,9,43,52,108,25.93,0.65,0.35,0.21,1.0,1.21,2.51
5,Matej Blumel,F,WAT,18.292,41,24,14,10,38,48,171,14.04,0.59,0.34,0.24,0.93,1.17,4.17
6,Egor Afanasyev,F,MUS,17.643,42,21,17,7,38,45,148,14.19,0.5,0.4,0.17,0.9,1.07,3.52
7,Emil Ohrvall,F,WAT,20.266,42,23,10,11,33,44,122,18.85,0.55,0.24,0.26,0.79,1.05,2.9
8,Vladislav Firstov,F,WAT,17.241,45,20,18,5,38,43,103,19.42,0.44,0.4,0.11,0.84,0.96,2.29
9,Matt Brown,LW,DM,19.102,40,22,15,5,37,42,106,20.75,0.55,0.38,0.12,0.93,1.05,2.65
