,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Calgary Hitmen,1296,745,57.758,4669,3700,969,53.41,40746,36037,4709,11.274,0.906,101.841
1,Kelowna Rockets,1296,707,61.187,4434,3704,730,53.33,40511,36677,3834,11.786,0.914,103.176
2,Brandon Wheat Kings,1296,695,54.778,4745,4190,555,51.557,41894,39505,2389,11.268,0.9,101.236
3,Kootenay Ice,1224,667,50.636,4056,3534,522,49.658,38086,35769,2317,9.945,0.904,100.265
4,Spokane Chiefs,1296,658,51.455,4249,3842,407,52.683,41985,37095,4890,9.69,0.898,99.472
5,Swift Current Broncos,1296,636,48.84,4066,3967,99,49.214,39992,39712,280,9.07,0.908,99.924
6,Tri-City Americans,1296,629,46.856,4270,4203,67,46.119,40042,40830,-788,9.328,0.91,100.285
7,Red Deer Rebels,1296,627,50.509,3972,3840,132,48.656,39394,38854,540,9.749,0.91,100.702
8,Medicine Hat Tigers,1296,626,55.168,4460,4308,152,54.497,40663,40234,429,9.771,0.906,100.318
9,Kamloops Blazers,1296,619,45.49,4164,4235,-71,49.804,39593,40578,-985,9.08,0.894,98.402
10,Seattle Thunderbirds,1296,569,48.416,4015,4225,-210,49.042,40323,41927,-1604,9.422,0.904,99.832
11,Saskatoon Blades,1296,562,43.059,4034,4438,-404,46.004,39175,42535,-3360,9.326,0.896,98.895
12,Moose Jaw Warriors,1296,561,44.806,4157,4491,-334,48.436,40043,42205,-2162,9.332,0.894,98.699
13,Regina Pats,1296,557,50.313,4078,4428,-350,50.143,38427,40893,-2466,10.174,0.9,100.107
14,Prince George Cougars,1296,516,42.463,3938,4684,-746,47.643,39970,42445,-2475,9.413,0.885,97.878
15,Lethbridge Hurricanes,1296,513,39.12,3907,4500,-593,41.77,37011,40355,-3344,9.452,0.895,98.93
16,Prince Albert Raiders,1296,504,46.402,3897,4634,-737,49.829,39869,42472,-2603,9.088,0.898,98.832
17,Vancouver Giants,1008,482,45.248,3259,3118,141,51.94,31976,28134,3842,8.795,0.885,97.292
18,Everett Silvertips,864,395,50.95,2347,2355,-8,49.856,24134,26191,-2057,10.174,0.904,100.58
19,Portland Winter Hawks,864,349,36.016,2495,3074,-579,43.242,25724,28236,-2512,8.123,0.89,97.208
20,Portland Winterhawks,432,282,58.509,1841,1296,545,53.341,16488,13964,2524,10.99,0.909,101.906
21,Edmonton Oil Kings,576,267,56.083,1850,1721,129,55.49,18836,17203,1633,9.323,0.908,100.202
22,Victoria Royals,288,129,51.427,921,964,-43,48.28,8479,9168,-689,10.725,0.904,101.051
23,Chilliwack Bruins,360,119,45.386,953,1240,-287,45.052,9769,11701,-1932,10.138,0.901,100.157
24,Edmonton Ice,72,18,42.46,242,328,-86,45.79,2228,2638,-410,10.78,0.877,98.48
