,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Colton Yellow Horn,LW,LET/TRI,19.428,330,153,113,83,266,349,0.612,0.388,0.282,0.993,1.282
1,Mitch Fadden,C,SEA/LET/T.C,19.482,340,136,124,58,260,318,0.499,0.413,0.206,0.908,1.117
2,Ryan White,C/D/RW,CGY/KAM/P.A/EVT,18.417,499,104,111,85,215,300,0.163,0.147,0.126,0.312,0.444
3,Jason Reese,C,VAN/M.J/TRI/T.C,19.664,317,97,107,69,204,273,0.376,0.409,0.261,0.784,1.045
4,Zach Boychuk,C,LET,18.073,237,110,99,62,209,271,0.551,0.362,0.306,0.914,1.225
5,Zach Hamill,C,EVT,18.039,250,87,116,59,203,262,0.369,0.491,0.246,0.859,1.104
6,Devin Setoguchi,RW,SAS/P.G,18.83,255,118,88,37,206,243,0.548,0.353,0.186,0.899,1.085
7,Justin Bernhardt,RW,REG/KEL/P.A,19.586,307,103,82,57,185,242,0.397,0.333,0.248,0.733,0.98
8,Drayson Bowman,LW,SPO,18.586,265,130,63,49,193,242,0.604,0.29,0.202,0.895,1.097
9,Keegan Dansereau,RW,CGY/S.C,19.737,311,108,79,54,187,241,0.427,0.352,0.178,0.778,0.955
10,Tyler Ennis,C,M.H,18.068,245,115,82,39,197,236,0.558,0.374,0.206,0.932,1.136
11,Steve DaSilva,C,KTN,19.72,271,103,81,51,184,235,0.476,0.379,0.229,0.851,1.08
12,Chad Klassen,C,SPO/SAS,19.666,209,89,83,58,172,230,0.42,0.408,0.278,0.82,1.098
13,Aaron Gagnon,C,SEA,19.52,256,118,69,39,187,226,0.548,0.295,0.204,0.842,1.046
14,Tim Kraus,C,VAN/REG,19.627,306,75,93,57,168,225,0.252,0.396,0.226,0.65,0.871
15,Andrew Bailey,RW,KTN,19.508,286,96,78,49,174,223,0.368,0.294,0.171,0.66,0.829
16,Colin Long,C,KEL,18.366,229,76,89,58,165,223,0.379,0.45,0.265,0.824,1.094
17,Andrew Clark,LW,BRN/BDN,19.562,254,93,75,48,168,216,0.43,0.309,0.236,0.738,0.971
18,Ryan Russell,LW,KTN,18.498,263,98,65,53,163,216,0.44,0.348,0.249,0.788,1.038
19,Brock Nixon,C,KAM/CGY,19.674,315,98,68,47,166,213,0.407,0.29,0.213,0.697,0.909
20,Taylor Procyshen,RW,TRI/T.C,19.259,259,112,56,44,168,212,0.479,0.258,0.205,0.736,0.941
21,Kyle Bortis,C,S.C/CGY/CAL,19.174,236,86,82,41,168,209,0.369,0.409,0.225,0.775,1.008
22,Riley Holzapfel,C,M.J,18.201,248,91,72,45,163,208,0.388,0.306,0.179,0.688,0.871
23,Nick Drazenovic,C,P.G,18.794,266,73,88,45,161,206,0.305,0.359,0.158,0.664,0.821
24,Greg Scott,LW,SEA,19.41,278,96,69,40,165,205,0.424,0.316,0.196,0.744,0.94
25,Jonathon Blum,D,VAN,18.75,248,49,74,81,123,204,0.252,0.412,0.362,0.665,1.028
26,Brandon Dubinsky,C,POR,18.632,190,74,85,45,159,204,0.395,0.512,0.24,0.908,1.148
27,Chris Durand,C,SEA/P.G/SAS,19.712,330,78,63,62,141,203,0.248,0.173,0.207,0.414,0.62
28,Kenndal McArdle,LW,M.J/VAN,18.822,259,92,65,46,157,203,0.332,0.224,0.196,0.556,0.752
29,Ian Duval,C,REG/CGY/KEL/M.J,19.39,331,86,76,40,162,202,0.34,0.352,0.139,0.693,0.832
30,Adam Cracknell,RW,KTN,19.42,216,87,69,46,156,202,0.445,0.338,0.24,0.785,1.025
31,Jordan Eberle,C,REG,17.588,197,105,56,38,161,199,0.54,0.31,0.213,0.852,1.062
32,Eric Hunter,C,P.G,19.221,257,95,61,43,156,199,0.381,0.249,0.178,0.63,0.808
33,Troy Brouwer,RW,M.J,19.33,215,94,56,48,150,198,0.498,0.302,0.245,0.8,1.045
34,Bud Holloway,RW,SEA,18.603,282,95,59,43,154,197,0.44,0.243,0.207,0.69,0.898
35,Kris Russell,D,M.H,18.498,241,76,57,63,133,196,0.386,0.244,0.316,0.633,0.948
36,Eric Fehr,RW,BRN,18.522,142,109,48,38,157,195,0.765,0.34,0.27,1.105,1.37
37,Colton Sceviour,C,POR/LET,18.468,251,78,74,40,152,192,0.374,0.36,0.194,0.734,0.931
38,Brennan Bosch,C,M.H,19.71,281,73,78,40,151,191,0.276,0.318,0.167,0.594,0.761
39,Jason Bast,C,M.J,18.413,271,81,63,46,144,190,0.338,0.26,0.205,0.597,0.806
40,Dwight King,C,LET,18.26,273,79,60,50,139,189,0.344,0.269,0.192,0.616,0.814
41,Dustin Boyd,C,M.J,18.418,202,92,67,30,159,189,0.535,0.37,0.16,0.908,1.068
42,Mitch Wahl,C,SPO,17.772,201,68,64,56,132,188,0.359,0.302,0.229,0.661,0.89
43,Dale Mahovsky,C,KTN,19.924,212,67,72,49,139,188,0.318,0.335,0.215,0.653,0.872
44,Joel Broda,C,TRI/M.J/CAL,17.871,264,102,52,34,154,188,0.53,0.198,0.18,0.728,0.915
45,Kris Hogg,LW,KAM/LET,19.372,281,101,62,24,163,187,0.424,0.249,0.102,0.672,0.775
46,Justin Keller,LW,KEL,18.785,216,107,47,33,154,187,0.55,0.228,0.175,0.778,0.955
47,Kyle Beach,LW,EVT/LET,17.797,183,82,51,54,133,187,0.451,0.311,0.279,0.762,1.046
48,Gilbert Brule,C,VAN,17.955,164,87,62,36,149,185,0.658,0.33,0.252,0.99,1.24
49,Raymond Macias,D,KAM,19.117,276,66,75,43,141,184,0.302,0.301,0.171,0.606,0.778
50,Jordan Knackstedt,RW,RDR/M.J,18.089,268,67,74,43,141,184,0.319,0.341,0.202,0.66,0.862
51,Ryan McDonald,C,REG/P.A,19.726,306,97,53,34,150,184,0.417,0.222,0.122,0.639,0.76
52,Logan Pyett,D,REG,18.368,273,49,66,68,115,183,0.232,0.283,0.253,0.52,0.77
53,Mark Santorelli,LW,CWK,18.608,144,56,79,48,135,183,0.39,0.55,0.335,0.935,1.27
54,Codey Burki,C,BRN,17.954,261,74,74,33,148,181,0.374,0.368,0.152,0.746,0.894
55,Kyle Ross,C,RDR/REG,19.134,279,57,72,52,129,181,0.251,0.304,0.225,0.555,0.776
56,Dana Tyrell,C,P.G,18.46,240,81,66,32,147,179,0.466,0.39,0.162,0.856,1.019
57,Mitch Bartley,LW,VAN,19.869,213,92,48,39,140,179,0.435,0.248,0.188,0.682,0.865
58,Ian McDonald,C,TRI,19.721,197,59,84,35,143,178,0.348,0.47,0.175,0.815,0.992
59,Thomas Hickey,D,SEA,18.662,262,39,64,74,103,177,0.224,0.264,0.293,0.49,0.778
60,Matt Robertson,LW,P.A/REG,19.854,209,90,44,43,134,177,0.42,0.21,0.21,0.63,0.84
61,Garrett Festerling,C,POR/REG,19.662,248,62,73,42,135,177,0.28,0.36,0.19,0.641,0.83
62,Wacey Rabbit,C,SAS/VAN,18.956,224,70,59,47,129,176,0.353,0.376,0.245,0.73,0.975
63,Brady Calla,RW,EVT/M.J/KAM/SPO,19.537,321,62,63,48,125,173,0.245,0.221,0.183,0.466,0.649
64,Tyler Johnson,C,RDR/M.J/SEA/SPO,18.207,309,68,61,42,129,171,0.298,0.266,0.162,0.56,0.721
65,Brett Sonne,C,CGY/CAL,18.396,232,89,47,35,136,171,0.504,0.312,0.229,0.821,1.05
66,Tyler Redenbach,C,S.C/LET,19.472,136,50,85,33,135,168,0.365,0.615,0.245,0.98,1.225
67,Spencer Machacek,RW,VAN,18.17,203,77,53,38,130,168,0.4,0.288,0.212,0.688,0.893
