,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Mark Santorelli,LW,CWK,19.108,72,27,41,33,68,101,0.38,0.57,0.46,0.94,1.4
1,Colin Long,C,KEL,18.24,72,31,41,28,72,100,0.43,0.57,0.39,1.0,1.39
2,Colton Yellow Horn,LW,TRI,20.365,67,48,30,19,78,97,0.72,0.45,0.28,1.16,1.45
3,Tyler Ennis,C,M.H,17.942,70,43,34,14,77,91,0.61,0.49,0.2,1.1,1.3
4,Steve DaSilva,C,KTN,20.595,68,40,32,18,72,90,0.59,0.47,0.26,1.06,1.32
5,Mitch Fadden,C,LET,19.45,72,34,38,17,72,89,0.47,0.53,0.24,1.0,1.24
6,Jordan Knackstedt,RW,M.J,18.963,72,31,34,20,65,85,0.43,0.47,0.28,0.9,1.18
7,Dan Gendur,RW,EVT,20.321,60,29,31,24,60,84,0.48,0.52,0.4,1.0,1.4
8,Bud Holloway,RW,SEA,19.54,70,43,19,21,62,83,0.61,0.27,0.3,0.89,1.19
9,Oscar Moller,RW,CWK,18.645,63,39,24,19,63,82,0.62,0.38,0.3,1.0,1.3
10,Jason Reese,C,TRI/M.J,19.631,69,24,31,27,55,82,0.35,0.45,0.39,0.8,1.19
11,Drayson Bowman,LW,SPO,18.522,66,42,24,16,66,82,0.64,0.36,0.24,1.0,1.24
12,Jason Bast,C,M.J,18.286,72,34,30,15,64,79,0.47,0.42,0.21,0.89,1.1
13,Spencer Machacek,RW,VAN,18.919,70,33,25,20,58,78,0.47,0.36,0.29,0.83,1.11
14,Greg Scott,LW,SEA,19.283,72,38,28,9,66,75,0.53,0.39,0.12,0.92,1.04
15,Zach Hamill,C,EVT,18.976,67,26,34,15,60,75,0.39,0.51,0.22,0.9,1.12
16,Brandon Campos,LW,CWK/EVT,19.77,69,26,24,24,50,74,0.38,0.35,0.35,0.72,1.07
17,Kruise Reddick,C,TRI,17.194,72,23,30,21,53,74,0.32,0.42,0.29,0.74,1.03
18,Shaun Vey,C,TRI,20.219,70,27,25,21,52,73,0.39,0.36,0.3,0.74,1.04
19,Mitch Wahl,C,SPO,17.646,67,20,21,32,41,73,0.3,0.31,0.48,0.61,1.09
20,Jordan Eberle,C,REG,17.336,70,42,21,9,63,72,0.6,0.3,0.13,0.9,1.03
21,Kyle Bortis,C,S.C/CGY,19.048,70,37,27,8,64,72,0.53,0.39,0.11,0.91,1.03
22,Ryan White,C,CGY,19.497,68,28,29,15,57,72,0.41,0.43,0.22,0.84,1.06
23,Zach Boychuk,C,LET,17.947,61,33,23,16,56,72,0.54,0.38,0.26,0.92,1.18
24,Brock Nixon,C,KAM/CGY,20.611,69,31,25,15,56,71,0.45,0.36,0.22,0.81,1.03
25,Brayden Schenn,C,BRN,16.066,66,28,28,15,56,71,0.42,0.42,0.23,0.85,1.08
