,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Joachim Blichfeld,LW,POR,20.165,58,51,26,25,77,102,0.88,0.45,0.43,1.33,1.76
1,Tristin Langan,LW,MJ,19.751,54,41,31,15,72,87,0.76,0.57,0.28,1.33,1.61
2,Trey Fix-Wolansky,RW,EDM,19.308,55,29,37,21,66,87,0.53,0.67,0.38,1.2,1.58
3,Brandon Hagel,LW,RD,20.052,55,33,36,15,69,84,0.6,0.65,0.27,1.25,1.53
4,Stelio Mattheos,C,BDN,19.256,53,37,27,19,64,83,0.7,0.51,0.36,1.21,1.57
5,Brett Leason,RW,PA,19.379,45,33,34,11,67,78,0.73,0.76,0.24,1.49,1.73
6,Noah Gregor,C,PA,20.135,53,35,27,14,62,76,0.66,0.51,0.26,1.17,1.43
7,Nick Henry,RW,LET/REG,19.201,58,22,35,19,57,76,0.38,0.6,0.33,0.98,1.31
8,Mark Kastelic,C,CGY,19.516,56,42,18,6,60,66,0.75,0.32,0.11,1.07,1.18
9,Luka Burzan,C,BDN,18.689,56,35,22,9,57,66,0.62,0.39,0.16,1.02,1.18
