game_date,period,video_time,team_name,strength,position,name,xG,shot category,location,outcome,after rebound,one-timer,deflected,after cross-ice pass,after DzG pass,pass from high zone,pass from medium zone,pass from low zone,pass from perimeter zone,received in high zone,received in medium zone,received in low zone,received in perimeter zone,created rebound,possession after shot,PP,PK,EN,first minute,last minute
2018-09-21,1,0 days 00:01:38.000000000,Mississauga Steelheads,5-5,F,Nicholas Canade,0.06,OZ_FORECHECK,MEDIUM,SOG,,,,,,,,,yes,,,,yes,yes,yes,,,,,
2018-09-21,1,0 days 00:02:13.000000000,Mississauga Steelheads,5-5,F,Cole Schwindt,0.04,OFF_OZ,PERIMETER,SOG,,,,,,,,,,,,,,yes,yes,,,,,
2018-09-21,1,0 days 00:02:52.000000000,Mississauga Steelheads,5-5,F,Cole Carter,0.05,OFF_OZ,MEDIUM,SOG,,,,,,,,,,,,,,yes,,,,,,
2018-09-21,1,0 days 00:02:58.000000000,Mississauga Steelheads,5-5,D,Ryan Barbosa,0.01,OZ_FORECHECK,PERIMETER,BLOCKED,,,,yes,,,,,yes,,,,yes,,,,,,,
2018-09-21,1,0 days 00:03:04.000000000,Ottawa 67's,5-5,F,William Sirman,0.01,OFF_OZ,PERIMETER,MISSED,,,,,,,,,,,,,,,,,,,,
2018-09-21,1,0 days 00:03:25.000000000,Ottawa 67's,5-5,F,Graeme Clarke,0.01,OZ_FORECHECK,PERIMETER,BLOCKED,,,,,,,,,,,,,,,,,,,,
2018-09-21,1,0 days 00:03:30.000000000,Mississauga Steelheads,5-5,F,William Portokalis,0.01,OFF_OZ,PERIMETER,SOG,,,,,,,,,,,,,,yes,yes,,,,,
2018-09-21,1,0 days 00:03:40.000000000,Mississauga Steelheads,5-5,F,James Hardie,0.02,OFF_OZ,LOW,BLOCKED,,,,,,,,,,,,,,,yes,,,,,
2018-09-21,1,0 days 00:06:06.000000000,Mississauga Steelheads,5-5,F,Cole Carter,0.04,OFF_OZ,MEDIUM,SOG,,,,,,,,,,,,,,yes,yes,,,,,
2018-09-21,1,0 days 00:07:36.000000000,Ottawa 67's,5-5,F,Tye Felhaber,0.08,OFF_OZ,PERIMETER,SOG,,yes,,,,,,,yes,,,,yes,yes,,,,,,
2018-09-21,1,0 days 00:07:53.000000000,Mississauga Steelheads,4-5,D,Thomas Harley,0.05,FACE_OFF,LOW,MISSED,,,,yes,yes,,yes,,,,,yes,,,,yes,,,,
2018-09-21,1,0 days 00:08:42.000000000,Mississauga Steelheads,4-5,F,Keean Washkurak,0.05,OFF_OZ,PERIMETER,SOG,,yes,,,,,,,yes,,,,yes,yes,,yes,,,,
